usage_id,device_id,apartment_id,usage_date,consumption_m3
USE-20260401-001-043,WTR-001-043,APT-001-043,2026-04-01,0.536
USE-20260401-001-044,WTR-001-044,APT-001-044,2026-04-01,0.672
USE-20260401-001-045,WTR-001-045,APT-001-045,2026-04-01,0.418
USE-20260401-001-046,WTR-001-046,APT-001-046,2026-04-01,0.463
USE-20260401-001-047,WTR-001-047,APT-001-047,2026-04-01,0.557
USE-20260401-001-048,WTR-001-048,APT-001-048,2026-04-01,0.468
USE-20260401-001-049,WTR-001-049,APT-001-049,2026-04-01,0.409
USE-20260401-001-050,WTR-001-050,APT-001-050,2026-04-01,0.38
USE-20260401-002-001,WTR-002-001,APT-002-001,2026-04-01,0.664
USE-20260401-002-002,WTR-002-002,APT-002-002,2026-04-01,0.503
USE-20260401-002-003,WTR-002-003,APT-002-003,2026-04-01,0.528
USE-20260401-002-004,WTR-002-004,APT-002-004,2026-04-01,0.817
USE-20260401-002-005,WTR-002-005,APT-002-005,2026-04-01,0.883
USE-20260401-002-006,WTR-002-006,APT-002-006,2026-04-01,0.747
USE-20260401-002-007,WTR-002-007,APT-002-007,2026-04-01,0.448
USE-20260401-002-008,WTR-002-008,APT-002-008,2026-04-01,0.578
USE-20260401-002-009,WTR-002-009,APT-002-009,2026-04-01,0.772
USE-20260401-002-010,WTR-002-010,APT-002-010,2026-04-01,0.875
USE-20260401-002-011,WTR-002-011,APT-002-011,2026-04-01,0.492
USE-20260401-002-012,WTR-002-012,APT-002-012,2026-04-01,0.691
USE-20260401-002-013,WTR-002-013,APT-002-013,2026-04-01,0.288
USE-20260401-002-014,WTR-002-014,APT-002-014,2026-04-01,0.28
USE-20260401-002-015,WTR-002-015,APT-002-015,2026-04-01,0.648
USE-20260401-002-016,WTR-002-016,APT-002-016,2026-04-01,0.935
USE-20260401-002-017,WTR-002-017,APT-002-017,2026-04-01,0.374
USE-20260401-002-018,WTR-002-018,APT-002-018,2026-04-01,0.879
USE-20260401-002-019,WTR-002-019,APT-002-019,2026-04-01,0.777
USE-20260401-002-020,WTR-002-020,APT-002-020,2026-04-01,0.532
USE-20260401-002-021,WTR-002-021,APT-002-021,2026-04-01,0.41
USE-20260401-002-022,WTR-002-022,APT-002-022,2026-04-01,0.509
USE-20260401-002-023,WTR-002-023,APT-002-023,2026-04-01,0.615
USE-20260401-002-024,WTR-002-024,APT-002-024,2026-04-01,0.833
USE-20260401-002-025,WTR-002-025,APT-002-025,2026-04-01,0.263
USE-20260401-002-026,WTR-002-026,APT-002-026,2026-04-01,0.649
USE-20260401-002-027,WTR-002-027,APT-002-027,2026-04-01,0.387
USE-20260401-002-028,WTR-002-028,APT-002-028,2026-04-01,0.579
USE-20260401-002-029,WTR-002-029,APT-002-029,2026-04-01,0.561
USE-20260401-002-030,WTR-002-030,APT-002-030,2026-04-01,0.214
USE-20260401-002-031,WTR-002-031,APT-002-031,2026-04-01,0.59
USE-20260401-002-032,WTR-002-032,APT-002-032,2026-04-01,0.593
USE-20260401-002-033,WTR-002-033,APT-002-033,2026-04-01,0.822
USE-20260401-002-034,WTR-002-034,APT-002-034,2026-04-01,0.487
USE-20260401-002-035,WTR-002-035,APT-002-035,2026-04-01,0.312
USE-20260401-002-036,WTR-002-036,APT-002-036,2026-04-01,0.552
USE-20260401-002-037,WTR-002-037,APT-002-037,2026-04-01,0.457
USE-20260401-002-038,WTR-002-038,APT-002-038,2026-04-01,0.665
USE-20260401-002-039,WTR-002-039,APT-002-039,2026-04-01,0.548
USE-20260401-002-040,WTR-002-040,APT-002-040,2026-04-01,0.423
USE-20260401-002-041,WTR-002-041,APT-002-041,2026-04-01,0.388
USE-20260401-002-042,WTR-002-042,APT-002-042,2026-04-01,0.873
USE-20260401-002-043,WTR-002-043,APT-002-043,2026-04-01,0.321
USE-20260401-002-044,WTR-002-044,APT-002-044,2026-04-01,0.51
USE-20260401-002-045,WTR-002-045,APT-002-045,2026-04-01,0.658
USE-20260401-002-046,WTR-002-046,APT-002-046,2026-04-01,0.373
USE-20260401-002-047,WTR-002-047,APT-002-047,2026-04-01,0.767
USE-20260401-002-048,WTR-002-048,APT-002-048,2026-04-01,0.582
USE-20260401-002-049,WTR-002-049,APT-002-049,2026-04-01,0.621
USE-20260401-002-050,WTR-002-050,APT-002-050,2026-04-01,0.588
USE-20260401-003-001,WTR-003-001,APT-003-001,2026-04-01,0.496
USE-20260401-003-002,WTR-003-002,APT-003-002,2026-04-01,0.499
USE-20260401-003-003,WTR-003-003,APT-003-003,2026-04-01,0.351
USE-20260401-003-004,WTR-003-004,APT-003-004,2026-04-01,0.313
USE-20260401-003-005,WTR-003-005,APT-003-005,2026-04-01,0.53
USE-20260401-003-006,WTR-003-006,APT-003-006,2026-04-01,0.599
USE-20260401-003-007,WTR-003-007,APT-003-007,2026-04-01,0.538
USE-20260401-003-008,WTR-003-008,APT-003-008,2026-04-01,0.395
USE-20260401-003-009,WTR-003-009,APT-003-009,2026-04-01,0.402
USE-20260401-003-010,WTR-003-010,APT-003-010,2026-04-01,0.374
USE-20260401-003-011,WTR-003-011,APT-003-011,2026-04-01,0.358
USE-20260401-003-012,WTR-003-012,APT-003-012,2026-04-01,0.547
USE-20260401-003-013,WTR-003-013,APT-003-013,2026-04-01,0.73
USE-20260401-003-014,WTR-003-014,APT-003-014,2026-04-01,0.848
USE-20260401-003-015,WTR-003-015,APT-003-015,2026-04-01,0.69
USE-20260401-003-016,WTR-003-016,APT-003-016,2026-04-01,0.768
USE-20260401-003-017,WTR-003-017,APT-003-017,2026-04-01,0.715
USE-20260401-003-018,WTR-003-018,APT-003-018,2026-04-01,0.282
USE-20260401-003-019,WTR-003-019,APT-003-019,2026-04-01,0.901
USE-20260401-003-020,WTR-003-020,APT-003-020,2026-04-01,0.839
USE-20260401-003-021,WTR-003-021,APT-003-021,2026-04-01,0.845
USE-20260401-003-022,WTR-003-022,APT-003-022,2026-04-01,0.304
USE-20260401-003-023,WTR-003-023,APT-003-023,2026-04-01,0.497
USE-20260401-003-024,WTR-003-024,APT-003-024,2026-04-01,0.498
USE-20260401-003-025,WTR-003-025,APT-003-025,2026-04-01,0.7
USE-20260401-003-026,WTR-003-026,APT-003-026,2026-04-01,0.563
USE-20260401-003-027,WTR-003-027,APT-003-027,2026-04-01,0.43
USE-20260401-003-028,WTR-003-028,APT-003-028,2026-04-01,0.63
USE-20260401-003-029,WTR-003-029,APT-003-029,2026-04-01,0.736
USE-20260401-003-030,WTR-003-030,APT-003-030,2026-04-01,0.551
USE-20260401-003-031,WTR-003-031,APT-003-031,2026-04-01,0.362
USE-20260401-003-032,WTR-003-032,APT-003-032,2026-04-01,0.386
USE-20260401-003-033,WTR-003-033,APT-003-033,2026-04-01,0.291
USE-20260401-003-034,WTR-003-034,APT-003-034,2026-04-01,0.42
USE-20260401-003-035,WTR-003-035,APT-003-035,2026-04-01,0.439
USE-20260401-003-036,WTR-003-036,APT-003-036,2026-04-01,0.966
USE-20260401-003-037,WTR-003-037,APT-003-037,2026-04-01,0.596
USE-20260401-003-038,WTR-003-038,APT-003-038,2026-04-01,0.669
USE-20260401-003-039,WTR-003-039,APT-003-039,2026-04-01,0.448
USE-20260401-003-040,WTR-003-040,APT-003-040,2026-04-01,0.525
USE-20260401-003-041,WTR-003-041,APT-003-041,2026-04-01,0.756
USE-20260401-003-042,WTR-003-042,APT-003-042,2026-04-01,0.927
USE-20260401-003-043,WTR-003-043,APT-003-043,2026-04-01,0.465
USE-20260401-003-044,WTR-003-044,APT-003-044,2026-04-01,0.749
USE-20260401-003-045,WTR-003-045,APT-003-045,2026-04-01,0.581
USE-20260401-003-046,WTR-003-046,APT-003-046,2026-04-01,0.645
USE-20260401-003-047,WTR-003-047,APT-003-047,2026-04-01,0.277
USE-20260401-003-048,WTR-003-048,APT-003-048,2026-04-01,0.44
USE-20260401-003-049,WTR-003-049,APT-003-049,2026-04-01,0.424
USE-20260401-003-050,WTR-003-050,APT-003-050,2026-04-01,0.767
USE-20260401-004-001,WTR-004-001,APT-004-001,2026-04-01,0.58
USE-20260401-004-002,WTR-004-002,APT-004-002,2026-04-01,0.409
USE-20260401-004-003,WTR-004-003,APT-004-003,2026-04-01,0.468
USE-20260401-004-004,WTR-004-004,APT-004-004,2026-04-01,0.399
USE-20260401-004-005,WTR-004-005,APT-004-005,2026-04-01,0.585
USE-20260401-004-006,WTR-004-006,APT-004-006,2026-04-01,0.32
USE-20260401-004-007,WTR-004-007,APT-004-007,2026-04-01,0.776
USE-20260401-004-008,WTR-004-008,APT-004-008,2026-04-01,0.42
USE-20260401-004-009,WTR-004-009,APT-004-009,2026-04-01,0.28
USE-20260401-004-010,WTR-004-010,APT-004-010,2026-04-01,0.71
USE-20260401-004-011,WTR-004-011,APT-004-011,2026-04-01,0.487
USE-20260401-004-012,WTR-004-012,APT-004-012,2026-04-01,0.727
USE-20260401-004-013,WTR-004-013,APT-004-013,2026-04-01,0.778
USE-20260401-004-014,WTR-004-014,APT-004-014,2026-04-01,0.451
USE-20260401-004-015,WTR-004-015,APT-004-015,2026-04-01,0.751
USE-20260401-004-016,WTR-004-016,APT-004-016,2026-04-01,0.676
USE-20260401-004-017,WTR-004-017,APT-004-017,2026-04-01,0.449
USE-20260401-004-018,WTR-004-018,APT-004-018,2026-04-01,1.02
USE-20260401-004-019,WTR-004-019,APT-004-019,2026-04-01,0.359
USE-20260401-004-020,WTR-004-020,APT-004-020,2026-04-01,0.459
USE-20260401-004-021,WTR-004-021,APT-004-021,2026-04-01,0.499
USE-20260401-004-022,WTR-004-022,APT-004-022,2026-04-01,0.509
USE-20260401-004-023,WTR-004-023,APT-004-023,2026-04-01,0.374
USE-20260401-004-024,WTR-004-024,APT-004-024,2026-04-01,0.591
USE-20260401-004-025,WTR-004-025,APT-004-025,2026-04-01,0.658
USE-20260401-004-026,WTR-004-026,APT-004-026,2026-04-01,0.851
USE-20260401-004-027,WTR-004-027,APT-004-027,2026-04-01,0.622
USE-20260401-004-028,WTR-004-028,APT-004-028,2026-04-01,0.502
USE-20260401-004-029,WTR-004-029,APT-004-029,2026-04-01,0.584
USE-20260401-004-030,WTR-004-030,APT-004-030,2026-04-01,0.607
USE-20260401-004-031,WTR-004-031,APT-004-031,2026-04-01,0.626
USE-20260401-004-032,WTR-004-032,APT-004-032,2026-04-01,0.308
USE-20260401-004-033,WTR-004-033,APT-004-033,2026-04-01,0.29
USE-20260401-004-034,WTR-004-034,APT-004-034,2026-04-01,0.608
USE-20260401-004-035,WTR-004-035,APT-004-035,2026-04-01,0.59
USE-20260401-004-036,WTR-004-036,APT-004-036,2026-04-01,0.636
USE-20260401-004-037,WTR-004-037,APT-004-037,2026-04-01,0.685
USE-20260401-004-038,WTR-004-038,APT-004-038,2026-04-01,0.61
USE-20260401-004-039,WTR-004-039,APT-004-039,2026-04-01,0.586
USE-20260401-004-040,WTR-004-040,APT-004-040,2026-04-01,0.253
USE-20260401-004-041,WTR-004-041,APT-004-041,2026-04-01,0.649
USE-20260401-004-042,WTR-004-042,APT-004-042,2026-04-01,0.737
USE-20260401-004-043,WTR-004-043,APT-004-043,2026-04-01,0.398
USE-20260401-004-044,WTR-004-044,APT-004-044,2026-04-01,0.399
USE-20260401-004-045,WTR-004-045,APT-004-045,2026-04-01,0.644
USE-20260401-004-046,WTR-004-046,APT-004-046,2026-04-01,0.781
USE-20260401-004-047,WTR-004-047,APT-004-047,2026-04-01,0.58
USE-20260401-004-048,WTR-004-048,APT-004-048,2026-04-01,0.393
USE-20260401-004-049,WTR-004-049,APT-004-049,2026-04-01,0.385
USE-20260401-004-050,WTR-004-050,APT-004-050,2026-04-01,0.412
USE-20260401-005-001,WTR-005-001,APT-005-001,2026-04-01,0.41
USE-20260401-005-002,WTR-005-002,APT-005-002,2026-04-01,0.696
USE-20260401-005-003,WTR-005-003,APT-005-003,2026-04-01,0.681
USE-20260401-005-004,WTR-005-004,APT-005-004,2026-04-01,0.678
USE-20260401-005-005,WTR-005-005,APT-005-005,2026-04-01,0.432
USE-20260401-005-006,WTR-005-006,APT-005-006,2026-04-01,0.302
USE-20260401-005-007,WTR-005-007,APT-005-007,2026-04-01,0.69
USE-20260401-005-008,WTR-005-008,APT-005-008,2026-04-01,0.612
USE-20260401-005-009,WTR-005-009,APT-005-009,2026-04-01,0.423
USE-20260401-005-010,WTR-005-010,APT-005-010,2026-04-01,1.33
USE-20260401-005-011,WTR-005-011,APT-005-011,2026-04-01,0.619
USE-20260401-005-012,WTR-005-012,APT-005-012,2026-04-01,0.687
USE-20260401-005-013,WTR-005-013,APT-005-013,2026-04-01,0.665
USE-20260401-005-014,WTR-005-014,APT-005-014,2026-04-01,0.629
USE-20260401-005-015,WTR-005-015,APT-005-015,2026-04-01,0.67
USE-20260401-005-016,WTR-005-016,APT-005-016,2026-04-01,0.642
USE-20260401-005-017,WTR-005-017,APT-005-017,2026-04-01,0.515
USE-20260401-005-018,WTR-005-018,APT-005-018,2026-04-01,0.682
USE-20260401-005-019,WTR-005-019,APT-005-019,2026-04-01,0.491
USE-20260401-005-020,WTR-005-020,APT-005-020,2026-04-01,0.56
USE-20260401-005-021,WTR-005-021,APT-005-021,2026-04-01,0.574
USE-20260401-005-022,WTR-005-022,APT-005-022,2026-04-01,0.224
USE-20260401-005-023,WTR-005-023,APT-005-023,2026-04-01,0.829
USE-20260401-005-024,WTR-005-024,APT-005-024,2026-04-01,0.355
USE-20260401-005-025,WTR-005-025,APT-005-025,2026-04-01,0.645
USE-20260401-005-026,WTR-005-026,APT-005-026,2026-04-01,0.769
USE-20260401-005-027,WTR-005-027,APT-005-027,2026-04-01,0.558
USE-20260401-005-028,WTR-005-028,APT-005-028,2026-04-01,0.29
USE-20260401-005-029,WTR-005-029,APT-005-029,2026-04-01,0.463
USE-20260401-005-030,WTR-005-030,APT-005-030,2026-04-01,0.713
USE-20260401-005-031,WTR-005-031,APT-005-031,2026-04-01,0.319
USE-20260401-005-032,WTR-005-032,APT-005-032,2026-04-01,0.65
USE-20260401-005-033,WTR-005-033,APT-005-033,2026-04-01,0.727
USE-20260401-005-034,WTR-005-034,APT-005-034,2026-04-01,0.531
USE-20260401-005-035,WTR-005-035,APT-005-035,2026-04-01,0.559
USE-20260401-005-036,WTR-005-036,APT-005-036,2026-04-01,0.706
USE-20260401-005-037,WTR-005-037,APT-005-037,2026-04-01,0.344
USE-20260401-005-038,WTR-005-038,APT-005-038,2026-04-01,0.396
USE-20260401-005-039,WTR-005-039,APT-005-039,2026-04-01,0.615
USE-20260401-005-040,WTR-005-040,APT-005-040,2026-04-01,0.736
USE-20260401-005-041,WTR-005-041,APT-005-041,2026-04-01,0.314
USE-20260401-005-042,WTR-005-042,APT-005-042,2026-04-01,0.536
USE-20260401-005-043,WTR-005-043,APT-005-043,2026-04-01,0.422
USE-20260401-005-044,WTR-005-044,APT-005-044,2026-04-01,0.857
USE-20260401-005-045,WTR-005-045,APT-005-045,2026-04-01,0.405
USE-20260401-005-046,WTR-005-046,APT-005-046,2026-04-01,0.667
USE-20260401-005-047,WTR-005-047,APT-005-047,2026-04-01,0.555
USE-20260401-005-048,WTR-005-048,APT-005-048,2026-04-01,0.531
USE-20260401-005-049,WTR-005-049,APT-005-049,2026-04-01,0.528
USE-20260401-005-050,WTR-005-050,APT-005-050,2026-04-01,0.675
USE-20260401-006-001,WTR-006-001,APT-006-001,2026-04-01,0.448
USE-20260401-006-002,WTR-006-002,APT-006-002,2026-04-01,0.865
USE-20260401-006-003,WTR-006-003,APT-006-003,2026-04-01,1.056
USE-20260401-006-004,WTR-006-004,APT-006-004,2026-04-01,0.761
USE-20260401-006-005,WTR-006-005,APT-006-005,2026-04-01,0.366
USE-20260401-006-006,WTR-006-006,APT-006-006,2026-04-01,0.643
USE-20260401-006-007,WTR-006-007,APT-006-007,2026-04-01,0.921
USE-20260401-006-008,WTR-006-008,APT-006-008,2026-04-01,0.464
USE-20260401-006-009,WTR-006-009,APT-006-009,2026-04-01,0.681
USE-20260401-006-010,WTR-006-010,APT-006-010,2026-04-01,0.445
USE-20260401-006-011,WTR-006-011,APT-006-011,2026-04-01,0.494
USE-20260401-006-012,WTR-006-012,APT-006-012,2026-04-01,0.711
USE-20260401-006-013,WTR-006-013,APT-006-013,2026-04-01,0.178
USE-20260401-006-014,WTR-006-014,APT-006-014,2026-04-01,0.558
USE-20260401-006-015,WTR-006-015,APT-006-015,2026-04-01,0.519
USE-20260401-006-016,WTR-006-016,APT-006-016,2026-04-01,0.522
USE-20260401-006-017,WTR-006-017,APT-006-017,2026-04-01,0.748
USE-20260401-006-018,WTR-006-018,APT-006-018,2026-04-01,0.26
USE-20260401-006-019,WTR-006-019,APT-006-019,2026-04-01,0.56
USE-20260401-006-020,WTR-006-020,APT-006-020,2026-04-01,0.566
USE-20260401-006-021,WTR-006-021,APT-006-021,2026-04-01,0.817
USE-20260401-006-022,WTR-006-022,APT-006-022,2026-04-01,0.376
USE-20260401-006-023,WTR-006-023,APT-006-023,2026-04-01,0.477
USE-20260401-006-024,WTR-006-024,APT-006-024,2026-04-01,0.551
USE-20260401-006-025,WTR-006-025,APT-006-025,2026-04-01,0.298
USE-20260401-006-026,WTR-006-026,APT-006-026,2026-04-01,0.793
USE-20260401-006-027,WTR-006-027,APT-006-027,2026-04-01,0.574
USE-20260401-006-028,WTR-006-028,APT-006-028,2026-04-01,0.625
USE-20260401-006-029,WTR-006-029,APT-006-029,2026-04-01,0.731
USE-20260401-006-030,WTR-006-030,APT-006-030,2026-04-01,0.503
USE-20260401-006-031,WTR-006-031,APT-006-031,2026-04-01,0.389
USE-20260401-006-032,WTR-006-032,APT-006-032,2026-04-01,0.435
USE-20260401-006-033,WTR-006-033,APT-006-033,2026-04-01,0.971
USE-20260401-006-034,WTR-006-034,APT-006-034,2026-04-01,0.4
USE-20260401-006-035,WTR-006-035,APT-006-035,2026-04-01,1.058
USE-20260401-006-036,WTR-006-036,APT-006-036,2026-04-01,0.314
USE-20260401-006-037,WTR-006-037,APT-006-037,2026-04-01,0.367
USE-20260401-006-038,WTR-006-038,APT-006-038,2026-04-01,0.621
USE-20260401-006-039,WTR-006-039,APT-006-039,2026-04-01,0.765
USE-20260401-006-040,WTR-006-040,APT-006-040,2026-04-01,0.535
USE-20260401-006-041,WTR-006-041,APT-006-041,2026-04-01,0.687
USE-20260401-006-042,WTR-006-042,APT-006-042,2026-04-01,0.642
USE-20260401-006-043,WTR-006-043,APT-006-043,2026-04-01,0.627
USE-20260401-006-044,WTR-006-044,APT-006-044,2026-04-01,0.653
USE-20260401-006-045,WTR-006-045,APT-006-045,2026-04-01,0.777
USE-20260401-006-046,WTR-006-046,APT-006-046,2026-04-01,0.525
USE-20260401-006-047,WTR-006-047,APT-006-047,2026-04-01,0.659
USE-20260401-006-048,WTR-006-048,APT-006-048,2026-04-01,0.662
USE-20260401-006-049,WTR-006-049,APT-006-049,2026-04-01,0.849
USE-20260401-006-050,WTR-006-050,APT-006-050,2026-04-01,0.626
USE-20260401-007-001,WTR-007-001,APT-007-001,2026-04-01,0.589
USE-20260401-007-002,WTR-007-002,APT-007-002,2026-04-01,0.544
USE-20260401-007-003,WTR-007-003,APT-007-003,2026-04-01,0.722
USE-20260401-007-004,WTR-007-004,APT-007-004,2026-04-01,0.703
USE-20260401-007-005,WTR-007-005,APT-007-005,2026-04-01,0.378
USE-20260401-007-006,WTR-007-006,APT-007-006,2026-04-01,0.564
USE-20260401-007-007,WTR-007-007,APT-007-007,2026-04-01,0.922
USE-20260401-007-008,WTR-007-008,APT-007-008,2026-04-01,0.478
USE-20260401-007-009,WTR-007-009,APT-007-009,2026-04-01,0.616
USE-20260401-007-010,WTR-007-010,APT-007-010,2026-04-01,0.688
USE-20260401-007-011,WTR-007-011,APT-007-011,2026-04-01,0.59
USE-20260401-007-012,WTR-007-012,APT-007-012,2026-04-01,0.894
USE-20260401-007-013,WTR-007-013,APT-007-013,2026-04-01,0.449
USE-20260401-007-014,WTR-007-014,APT-007-014,2026-04-01,0.849
USE-20260401-007-015,WTR-007-015,APT-007-015,2026-04-01,0.489
USE-20260401-007-016,WTR-007-016,APT-007-016,2026-04-01,0.723
USE-20260401-007-017,WTR-007-017,APT-007-017,2026-04-01,0.437
USE-20260401-007-018,WTR-007-018,APT-007-018,2026-04-01,0.578
USE-20260401-007-019,WTR-007-019,APT-007-019,2026-04-01,0.771
USE-20260401-007-020,WTR-007-020,APT-007-020,2026-04-01,0.699
USE-20260401-007-021,WTR-007-021,APT-007-021,2026-04-01,0.562
USE-20260401-007-022,WTR-007-022,APT-007-022,2026-04-01,0.622
USE-20260401-007-023,WTR-007-023,APT-007-023,2026-04-01,0.59
USE-20260401-007-024,WTR-007-024,APT-007-024,2026-04-01,0.555
USE-20260401-007-025,WTR-007-025,APT-007-025,2026-04-01,0.483
USE-20260401-007-026,WTR-007-026,APT-007-026,2026-04-01,0.528
USE-20260401-007-027,WTR-007-027,APT-007-027,2026-04-01,0.69
USE-20260401-007-028,WTR-007-028,APT-007-028,2026-04-01,0.845
USE-20260401-007-029,WTR-007-029,APT-007-029,2026-04-01,0.626
USE-20260401-007-030,WTR-007-030,APT-007-030,2026-04-01,0.433
USE-20260401-007-031,WTR-007-031,APT-007-031,2026-04-01,0.718
USE-20260401-007-032,WTR-007-032,APT-007-032,2026-04-01,0.305
USE-20260401-007-033,WTR-007-033,APT-007-033,2026-04-01,0.732
USE-20260401-007-034,WTR-007-034,APT-007-034,2026-04-01,0.613
USE-20260401-007-035,WTR-007-035,APT-007-035,2026-04-01,0.462
USE-20260401-007-036,WTR-007-036,APT-007-036,2026-04-01,0.697
USE-20260401-007-037,WTR-007-037,APT-007-037,2026-04-01,0.45
USE-20260401-007-038,WTR-007-038,APT-007-038,2026-04-01,0.576
USE-20260401-007-039,WTR-007-039,APT-007-039,2026-04-01,0.785
USE-20260401-007-040,WTR-007-040,APT-007-040,2026-04-01,0.631
USE-20260401-007-041,WTR-007-041,APT-007-041,2026-04-01,0.311
USE-20260401-007-042,WTR-007-042,APT-007-042,2026-04-01,0.4
USE-20260401-007-043,WTR-007-043,APT-007-043,2026-04-01,0.4
USE-20260401-007-044,WTR-007-044,APT-007-044,2026-04-01,0.489
USE-20260401-007-045,WTR-007-045,APT-007-045,2026-04-01,0.341
USE-20260401-007-046,WTR-007-046,APT-007-046,2026-04-01,0.399
USE-20260401-007-047,WTR-007-047,APT-007-047,2026-04-01,0.259
USE-20260401-007-048,WTR-007-048,APT-007-048,2026-04-01,0.38
USE-20260401-007-049,WTR-007-049,APT-007-049,2026-04-01,0.32
USE-20260401-007-050,WTR-007-050,APT-007-050,2026-04-01,0.524
USE-20260401-008-001,WTR-008-001,APT-008-001,2026-04-01,0.588
USE-20260401-008-002,WTR-008-002,APT-008-002,2026-04-01,0.503
USE-20260401-008-003,WTR-008-003,APT-008-003,2026-04-01,0.654
USE-20260401-008-004,WTR-008-004,APT-008-004,2026-04-01,0.598
USE-20260401-008-005,WTR-008-005,APT-008-005,2026-04-01,0.617
USE-20260401-008-006,WTR-008-006,APT-008-006,2026-04-01,0.296
USE-20260401-008-007,WTR-008-007,APT-008-007,2026-04-01,0.548
USE-20260401-008-008,WTR-008-008,APT-008-008,2026-04-01,0.356
USE-20260401-008-009,WTR-008-009,APT-008-009,2026-04-01,0.407
USE-20260401-008-010,WTR-008-010,APT-008-010,2026-04-01,0.507
USE-20260401-008-011,WTR-008-011,APT-008-011,2026-04-01,0.802
USE-20260401-008-012,WTR-008-012,APT-008-012,2026-04-01,0.735
USE-20260401-008-013,WTR-008-013,APT-008-013,2026-04-01,0.537
USE-20260401-008-014,WTR-008-014,APT-008-014,2026-04-01,0.675
USE-20260401-008-015,WTR-008-015,APT-008-015,2026-04-01,0.438
USE-20260401-008-016,WTR-008-016,APT-008-016,2026-04-01,0.346
USE-20260401-008-017,WTR-008-017,APT-008-017,2026-04-01,0.755
USE-20260401-008-018,WTR-008-018,APT-008-018,2026-04-01,0.622
USE-20260401-008-019,WTR-008-019,APT-008-019,2026-04-01,0.633
USE-20260401-008-020,WTR-008-020,APT-008-020,2026-04-01,0.598
USE-20260401-008-021,WTR-008-021,APT-008-021,2026-04-01,0.724
USE-20260401-008-022,WTR-008-022,APT-008-022,2026-04-01,0.799
USE-20260401-008-023,WTR-008-023,APT-008-023,2026-04-01,0.95
USE-20260401-008-024,WTR-008-024,APT-008-024,2026-04-01,0.666
USE-20260401-008-025,WTR-008-025,APT-008-025,2026-04-01,0.811
USE-20260401-008-026,WTR-008-026,APT-008-026,2026-04-01,0.515
