apartment_id,building_id,location_code,apartment_type,activation_date,status
APT-001-024,BLDG-001,HYD-NORTH,1BHK,2026-04-14,ACTIVE
APT-001-025,BLDG-001,HYD-NORTH,3BHK,2026-04-04,ACTIVE
APT-001-026,BLDG-001,HYD-NORTH,1BHK,2026-03-10,ACTIVE
APT-001-027,BLDG-001,HYD-NORTH,3BHK,2026-04-29,ACTIVE
APT-001-028,BLDG-001,HYD-NORTH,2.5BHK,2026-01-11,ACTIVE
APT-001-029,BLDG-001,HYD-NORTH,2.5BHK,2026-04-17,ACTIVE
APT-001-030,BLDG-001,HYD-NORTH,2BHK,2026-03-15,ACTIVE
APT-001-031,BLDG-001,HYD-NORTH,1BHK,2026-04-01,ACTIVE
APT-001-032,BLDG-001,HYD-NORTH,2BHK,2026-01-06,ACTIVE
APT-001-033,BLDG-001,HYD-NORTH,2.5BHK,2026-04-09,ACTIVE
APT-001-034,BLDG-001,HYD-NORTH,2BHK,2026-01-11,ACTIVE
APT-001-035,BLDG-001,HYD-NORTH,1BHK,2026-04-21,ACTIVE
APT-001-036,BLDG-001,HYD-NORTH,2.5BHK,2026-02-18,ACTIVE
APT-001-037,BLDG-001,HYD-NORTH,2.5BHK,2026-02-28,ACTIVE
APT-001-038,BLDG-001,HYD-NORTH,2.5BHK,2026-01-21,ACTIVE
APT-001-039,BLDG-001,HYD-NORTH,2BHK,2026-02-15,ACTIVE
APT-001-040,BLDG-001,HYD-NORTH,2.5BHK,2026-03-27,ACTIVE
APT-001-041,BLDG-001,HYD-NORTH,1BHK,2026-03-31,ACTIVE
APT-001-042,BLDG-001,HYD-NORTH,2BHK,2026-03-19,ACTIVE
APT-001-043,BLDG-001,HYD-NORTH,2BHK,2026-03-10,ACTIVE
APT-001-044,BLDG-001,HYD-NORTH,3BHK,2026-01-21,ACTIVE
APT-001-045,BLDG-001,HYD-NORTH,2.5BHK,2026-02-18,ACTIVE
APT-001-046,BLDG-001,HYD-NORTH,2BHK,2026-04-29,ACTIVE
APT-001-047,BLDG-001,HYD-NORTH,2.5BHK,2026-03-29,ACTIVE
APT-001-048,BLDG-001,HYD-NORTH,1BHK,2026-04-18,ACTIVE
APT-001-049,BLDG-001,HYD-NORTH,1BHK,2026-01-30,ACTIVE
APT-001-050,BLDG-001,HYD-NORTH,2.5BHK,2026-04-14,ACTIVE
APT-002-001,BLDG-002,HYD-EAST,2.5BHK,2026-02-21,ACTIVE
APT-002-002,BLDG-002,HYD-EAST,2BHK,2026-01-09,ACTIVE
APT-002-003,BLDG-002,HYD-EAST,2.5BHK,2026-04-27,ACTIVE
APT-002-004,BLDG-002,HYD-EAST,3BHK,2026-01-28,ACTIVE
APT-002-005,BLDG-002,HYD-EAST,3BHK,2026-02-20,ACTIVE
APT-002-006,BLDG-002,HYD-EAST,2.5BHK,2026-01-19,ACTIVE
APT-002-007,BLDG-002,HYD-EAST,2BHK,2026-01-18,ACTIVE
APT-002-008,BLDG-002,HYD-EAST,2.5BHK,2026-04-06,ACTIVE
APT-002-009,BLDG-002,HYD-EAST,3BHK,2026-04-06,ACTIVE
APT-002-010,BLDG-002,HYD-EAST,3BHK,2026-04-25,ACTIVE
APT-002-011,BLDG-002,HYD-EAST,2BHK,2026-02-16,ACTIVE
APT-002-012,BLDG-002,HYD-EAST,3BHK,2026-01-18,ACTIVE
APT-002-013,BLDG-002,HYD-EAST,1BHK,2026-01-12,ACTIVE
APT-002-014,BLDG-002,HYD-EAST,1BHK,2026-04-21,ACTIVE
APT-002-015,BLDG-002,HYD-EAST,2BHK,2026-01-20,ACTIVE
APT-002-016,BLDG-002,HYD-EAST,3BHK,2026-04-12,ACTIVE
APT-002-017,BLDG-002,HYD-EAST,1BHK,2026-03-18,ACTIVE
APT-002-018,BLDG-002,HYD-EAST,3BHK,2026-02-19,ACTIVE
APT-002-019,BLDG-002,HYD-EAST,3BHK,2026-03-18,ACTIVE
APT-002-020,BLDG-002,HYD-EAST,2.5BHK,2026-03-09,ACTIVE
APT-002-021,BLDG-002,HYD-EAST,1BHK,2026-03-12,ACTIVE
APT-002-022,BLDG-002,HYD-EAST,1BHK,2026-03-29,ACTIVE
APT-002-023,BLDG-002,HYD-EAST,2.5BHK,2026-03-29,ACTIVE
APT-002-024,BLDG-002,HYD-EAST,2.5BHK,2026-04-09,ACTIVE
APT-002-025,BLDG-002,HYD-EAST,2.5BHK,2026-01-15,ACTIVE
APT-002-026,BLDG-002,HYD-EAST,2BHK,2026-02-25,ACTIVE
APT-002-027,BLDG-002,HYD-EAST,1BHK,2026-02-28,ACTIVE
APT-002-028,BLDG-002,HYD-EAST,2.5BHK,2026-04-03,ACTIVE
APT-002-029,BLDG-002,HYD-EAST,2BHK,2026-03-06,ACTIVE
APT-002-030,BLDG-002,HYD-EAST,1BHK,2026-03-06,ACTIVE
APT-002-031,BLDG-002,HYD-EAST,2.5BHK,2026-04-22,ACTIVE
APT-002-032,BLDG-002,HYD-EAST,2BHK,2026-04-18,ACTIVE
APT-002-033,BLDG-002,HYD-EAST,2.5BHK,2026-01-20,ACTIVE
APT-002-034,BLDG-002,HYD-EAST,2BHK,2026-04-08,ACTIVE
APT-002-035,BLDG-002,HYD-EAST,1BHK,2026-03-11,ACTIVE
APT-002-036,BLDG-002,HYD-EAST,2.5BHK,2026-03-18,ACTIVE
APT-002-037,BLDG-002,HYD-EAST,1BHK,2026-03-04,ACTIVE
APT-002-038,BLDG-002,HYD-EAST,2.5BHK,2026-01-15,ACTIVE
APT-002-039,BLDG-002,HYD-EAST,2.5BHK,2026-04-23,ACTIVE
APT-002-040,BLDG-002,HYD-EAST,1BHK,2026-01-31,ACTIVE
APT-002-041,BLDG-002,HYD-EAST,1BHK,2026-01-31,ACTIVE
APT-002-042,BLDG-002,HYD-EAST,3BHK,2026-01-11,ACTIVE
APT-002-043,BLDG-002,HYD-EAST,1BHK,2026-04-15,ACTIVE
APT-002-044,BLDG-002,HYD-EAST,2BHK,2026-04-08,ACTIVE
APT-002-045,BLDG-002,HYD-EAST,3BHK,2026-01-17,ACTIVE
APT-002-046,BLDG-002,HYD-EAST,2BHK,2026-03-12,ACTIVE
APT-002-047,BLDG-002,HYD-EAST,3BHK,2026-02-03,ACTIVE
APT-002-048,BLDG-002,HYD-EAST,2BHK,2026-01-28,ACTIVE
APT-002-049,BLDG-002,HYD-EAST,2.5BHK,2026-04-02,ACTIVE
APT-002-050,BLDG-002,HYD-EAST,2.5BHK,2026-02-21,ACTIVE
APT-003-001,BLDG-003,HYD-WEST,3BHK,2026-02-26,ACTIVE
APT-003-002,BLDG-003,HYD-WEST,2BHK,2026-01-16,ACTIVE
APT-003-003,BLDG-003,HYD-WEST,1BHK,2026-01-29,ACTIVE
APT-003-004,BLDG-003,HYD-WEST,1BHK,2026-02-13,ACTIVE
APT-003-005,BLDG-003,HYD-WEST,2BHK,2026-03-17,ACTIVE
APT-003-006,BLDG-003,HYD-WEST,2BHK,2026-03-17,ACTIVE
APT-003-007,BLDG-003,HYD-WEST,1BHK,2026-01-01,ACTIVE
APT-003-008,BLDG-003,HYD-WEST,1BHK,2026-04-01,ACTIVE
APT-003-009,BLDG-003,HYD-WEST,1BHK,2026-01-30,ACTIVE
APT-003-010,BLDG-003,HYD-WEST,1BHK,2026-04-26,ACTIVE
APT-003-011,BLDG-003,HYD-WEST,2.5BHK,2026-04-21,ACTIVE
APT-003-012,BLDG-003,HYD-WEST,2BHK,2026-01-10,ACTIVE
APT-003-013,BLDG-003,HYD-WEST,3BHK,2026-02-05,ACTIVE
APT-003-014,BLDG-003,HYD-WEST,2BHK,2026-01-28,ACTIVE
APT-003-015,BLDG-003,HYD-WEST,3BHK,2026-04-03,ACTIVE
APT-003-016,BLDG-003,HYD-WEST,3BHK,2026-02-01,ACTIVE
APT-003-017,BLDG-003,HYD-WEST,3BHK,2026-04-14,ACTIVE
APT-003-018,BLDG-003,HYD-WEST,1BHK,2026-01-25,ACTIVE
APT-003-019,BLDG-003,HYD-WEST,3BHK,2026-01-13,ACTIVE
APT-003-020,BLDG-003,HYD-WEST,3BHK,2026-02-15,ACTIVE
APT-003-021,BLDG-003,HYD-WEST,3BHK,2026-02-22,ACTIVE
APT-003-022,BLDG-003,HYD-WEST,1BHK,2026-04-21,ACTIVE
APT-003-023,BLDG-003,HYD-WEST,1BHK,2026-03-28,ACTIVE
APT-003-024,BLDG-003,HYD-WEST,3BHK,2026-01-08,ACTIVE
APT-003-025,BLDG-003,HYD-WEST,2.5BHK,2026-04-04,ACTIVE
APT-003-026,BLDG-003,HYD-WEST,1BHK,2026-04-13,ACTIVE
APT-003-027,BLDG-003,HYD-WEST,2BHK,2026-02-01,ACTIVE
APT-003-028,BLDG-003,HYD-WEST,3BHK,2026-01-25,ACTIVE
APT-003-029,BLDG-003,HYD-WEST,3BHK,2026-01-18,ACTIVE
APT-003-030,BLDG-003,HYD-WEST,2.5BHK,2026-01-24,ACTIVE
APT-003-031,BLDG-003,HYD-WEST,2BHK,2026-03-01,ACTIVE
APT-003-032,BLDG-003,HYD-WEST,1BHK,2026-04-22,ACTIVE
APT-003-033,BLDG-003,HYD-WEST,1BHK,2026-02-26,ACTIVE
APT-003-034,BLDG-003,HYD-WEST,1BHK,2026-01-07,ACTIVE
APT-003-035,BLDG-003,HYD-WEST,2BHK,2026-01-12,ACTIVE
APT-003-036,BLDG-003,HYD-WEST,3BHK,2026-01-22,ACTIVE
APT-003-037,BLDG-003,HYD-WEST,3BHK,2026-03-04,ACTIVE
APT-003-038,BLDG-003,HYD-WEST,3BHK,2026-01-28,ACTIVE
APT-003-039,BLDG-003,HYD-WEST,1BHK,2026-04-26,ACTIVE
APT-003-040,BLDG-003,HYD-WEST,3BHK,2026-01-22,ACTIVE
APT-003-041,BLDG-003,HYD-WEST,3BHK,2026-01-01,ACTIVE
APT-003-042,BLDG-003,HYD-WEST,3BHK,2026-02-03,ACTIVE
APT-003-043,BLDG-003,HYD-WEST,3BHK,2026-02-06,ACTIVE
APT-003-044,BLDG-003,HYD-WEST,3BHK,2026-03-31,ACTIVE
APT-003-045,BLDG-003,HYD-WEST,2BHK,2026-01-20,ACTIVE
APT-003-046,BLDG-003,HYD-WEST,2BHK,2026-02-07,ACTIVE
APT-003-047,BLDG-003,HYD-WEST,1BHK,2026-01-08,ACTIVE
APT-003-048,BLDG-003,HYD-WEST,2.5BHK,2026-04-06,ACTIVE
APT-003-049,BLDG-003,HYD-WEST,1BHK,2026-01-08,ACTIVE
APT-003-050,BLDG-003,HYD-WEST,3BHK,2026-03-16,ACTIVE
APT-004-001,BLDG-004,HYD-CENTRAL,2BHK,2026-03-06,ACTIVE
APT-004-002,BLDG-004,HYD-CENTRAL,1BHK,2026-01-08,ACTIVE
APT-004-003,BLDG-004,HYD-CENTRAL,2BHK,2026-04-19,ACTIVE
APT-004-004,BLDG-004,HYD-CENTRAL,1BHK,2026-01-09,ACTIVE
APT-004-005,BLDG-004,HYD-CENTRAL,2BHK,2026-03-28,ACTIVE
APT-004-006,BLDG-004,HYD-CENTRAL,1BHK,2026-02-21,ACTIVE
APT-004-007,BLDG-004,HYD-CENTRAL,2BHK,2026-05-01,ACTIVE
APT-004-008,BLDG-004,HYD-CENTRAL,1BHK,2026-03-16,ACTIVE
APT-004-009,BLDG-004,HYD-CENTRAL,1BHK,2026-03-21,ACTIVE
APT-004-010,BLDG-004,HYD-CENTRAL,2.5BHK,2026-02-23,ACTIVE
APT-004-011,BLDG-004,HYD-CENTRAL,2.5BHK,2026-04-30,ACTIVE
APT-004-012,BLDG-004,HYD-CENTRAL,2.5BHK,2026-01-27,ACTIVE
APT-004-013,BLDG-004,HYD-CENTRAL,2.5BHK,2026-01-31,ACTIVE
APT-004-014,BLDG-004,HYD-CENTRAL,2BHK,2026-02-20,ACTIVE
APT-004-015,BLDG-004,HYD-CENTRAL,2.5BHK,2026-03-27,ACTIVE
APT-004-016,BLDG-004,HYD-CENTRAL,2.5BHK,2026-02-28,ACTIVE
APT-004-017,BLDG-004,HYD-CENTRAL,1BHK,2026-04-29,ACTIVE
APT-004-018,BLDG-004,HYD-CENTRAL,3BHK,2026-01-02,ACTIVE
APT-004-019,BLDG-004,HYD-CENTRAL,1BHK,2026-03-21,ACTIVE
APT-004-020,BLDG-004,HYD-CENTRAL,2BHK,2026-01-10,ACTIVE
APT-004-021,BLDG-004,HYD-CENTRAL,2.5BHK,2026-03-06,ACTIVE
APT-004-022,BLDG-004,HYD-CENTRAL,2.5BHK,2026-01-17,ACTIVE
APT-004-023,BLDG-004,HYD-CENTRAL,1BHK,2026-04-23,ACTIVE
APT-004-024,BLDG-004,HYD-CENTRAL,2BHK,2026-04-23,ACTIVE
APT-004-025,BLDG-004,HYD-CENTRAL,2.5BHK,2026-02-17,ACTIVE
APT-004-026,BLDG-004,HYD-CENTRAL,3BHK,2026-01-21,ACTIVE
APT-004-027,BLDG-004,HYD-CENTRAL,2.5BHK,2026-04-17,ACTIVE
APT-004-028,BLDG-004,HYD-CENTRAL,1BHK,2026-03-20,ACTIVE
APT-004-029,BLDG-004,HYD-CENTRAL,2.5BHK,2026-03-27,ACTIVE
APT-004-030,BLDG-004,HYD-CENTRAL,1BHK,2026-04-30,ACTIVE
APT-004-031,BLDG-004,HYD-CENTRAL,2BHK,2026-05-01,ACTIVE
APT-004-032,BLDG-004,HYD-CENTRAL,1BHK,2026-02-03,ACTIVE
APT-004-033,BLDG-004,HYD-CENTRAL,1BHK,2026-04-24,ACTIVE
APT-004-034,BLDG-004,HYD-CENTRAL,2BHK,2026-04-06,ACTIVE
APT-004-035,BLDG-004,HYD-CENTRAL,2.5BHK,2026-02-04,ACTIVE
APT-004-036,BLDG-004,HYD-CENTRAL,2BHK,2026-03-19,ACTIVE
APT-004-037,BLDG-004,HYD-CENTRAL,2.5BHK,2026-04-02,ACTIVE
APT-004-038,BLDG-004,HYD-CENTRAL,2.5BHK,2026-01-27,ACTIVE
APT-004-039,BLDG-004,HYD-CENTRAL,3BHK,2026-03-06,ACTIVE
APT-004-040,BLDG-004,HYD-CENTRAL,1BHK,2026-02-02,ACTIVE
APT-004-041,BLDG-004,HYD-CENTRAL,3BHK,2026-01-12,ACTIVE
APT-004-042,BLDG-004,HYD-CENTRAL,2.5BHK,2026-04-17,ACTIVE
APT-004-043,BLDG-004,HYD-CENTRAL,1BHK,2026-01-06,ACTIVE
APT-004-044,BLDG-004,HYD-CENTRAL,2BHK,2026-02-12,ACTIVE
APT-004-045,BLDG-004,HYD-CENTRAL,2.5BHK,2026-03-23,ACTIVE
APT-004-046,BLDG-004,HYD-CENTRAL,3BHK,2026-01-21,ACTIVE
APT-004-047,BLDG-004,HYD-CENTRAL,3BHK,2026-03-12,ACTIVE
APT-004-048,BLDG-004,HYD-CENTRAL,1BHK,2026-03-13,ACTIVE
APT-004-049,BLDG-004,HYD-CENTRAL,1BHK,2026-01-15,ACTIVE
APT-004-050,BLDG-004,HYD-CENTRAL,2BHK,2026-05-01,ACTIVE
APT-005-001,BLDG-005,HYD-SOUTH,1BHK,2026-03-11,ACTIVE
APT-005-002,BLDG-005,HYD-SOUTH,2.5BHK,2026-04-17,ACTIVE
APT-005-003,BLDG-005,HYD-SOUTH,2BHK,2026-03-16,ACTIVE
APT-005-004,BLDG-005,HYD-SOUTH,2BHK,2026-02-25,ACTIVE
APT-005-005,BLDG-005,HYD-SOUTH,2.5BHK,2026-01-06,ACTIVE
APT-005-006,BLDG-005,HYD-SOUTH,1BHK,2026-02-16,ACTIVE
APT-005-007,BLDG-005,HYD-SOUTH,2.5BHK,2026-04-26,ACTIVE
APT-005-008,BLDG-005,HYD-SOUTH,2BHK,2026-01-27,ACTIVE
APT-005-009,BLDG-005,HYD-SOUTH,1BHK,2026-03-27,ACTIVE
APT-005-010,BLDG-005,HYD-SOUTH,3BHK,2026-02-15,ACTIVE
APT-005-011,BLDG-005,HYD-SOUTH,2BHK,2026-03-21,ACTIVE
APT-005-012,BLDG-005,HYD-SOUTH,2BHK,2026-04-29,ACTIVE
APT-005-013,BLDG-005,HYD-SOUTH,2BHK,2026-04-21,ACTIVE
APT-005-014,BLDG-005,HYD-SOUTH,2BHK,2026-04-13,ACTIVE
APT-005-015,BLDG-005,HYD-SOUTH,3BHK,2026-04-23,ACTIVE
APT-005-016,BLDG-005,HYD-SOUTH,2BHK,2026-01-04,ACTIVE
APT-005-017,BLDG-005,HYD-SOUTH,2.5BHK,2026-04-05,ACTIVE
APT-005-018,BLDG-005,HYD-SOUTH,3BHK,2026-04-11,ACTIVE
APT-005-019,BLDG-005,HYD-SOUTH,2BHK,2026-04-13,ACTIVE
APT-005-020,BLDG-005,HYD-SOUTH,2BHK,2026-02-04,ACTIVE
APT-005-021,BLDG-005,HYD-SOUTH,1BHK,2026-04-11,ACTIVE
APT-005-022,BLDG-005,HYD-SOUTH,1BHK,2026-02-18,ACTIVE
APT-005-023,BLDG-005,HYD-SOUTH,3BHK,2026-04-20,ACTIVE
APT-005-024,BLDG-005,HYD-SOUTH,2BHK,2026-01-29,ACTIVE
APT-005-025,BLDG-005,HYD-SOUTH,3BHK,2026-04-15,ACTIVE
APT-005-026,BLDG-005,HYD-SOUTH,2.5BHK,2026-02-14,ACTIVE
APT-005-027,BLDG-005,HYD-SOUTH,2BHK,2026-04-16,ACTIVE
APT-005-028,BLDG-005,HYD-SOUTH,1BHK,2026-01-29,ACTIVE
APT-005-029,BLDG-005,HYD-SOUTH,2BHK,2026-03-26,ACTIVE
APT-005-030,BLDG-005,HYD-SOUTH,2.5BHK,2026-02-21,ACTIVE
APT-005-031,BLDG-005,HYD-SOUTH,1BHK,2026-02-05,ACTIVE
APT-005-032,BLDG-005,HYD-SOUTH,2.5BHK,2026-04-09,ACTIVE
APT-005-033,BLDG-005,HYD-SOUTH,3BHK,2026-02-14,ACTIVE
APT-005-034,BLDG-005,HYD-SOUTH,2.5BHK,2026-03-28,ACTIVE
APT-005-035,BLDG-005,HYD-SOUTH,1BHK,2026-05-01,ACTIVE
APT-005-036,BLDG-005,HYD-SOUTH,2.5BHK,2026-01-15,ACTIVE
APT-005-037,BLDG-005,HYD-SOUTH,2.5BHK,2026-01-23,ACTIVE
APT-005-038,BLDG-005,HYD-SOUTH,1BHK,2026-01-05,ACTIVE
APT-005-039,BLDG-005,HYD-SOUTH,3BHK,2026-03-18,ACTIVE
APT-005-040,BLDG-005,HYD-SOUTH,2.5BHK,2026-02-14,ACTIVE
APT-005-041,BLDG-005,HYD-SOUTH,1BHK,2026-02-25,ACTIVE
APT-005-042,BLDG-005,HYD-SOUTH,2BHK,2026-02-19,ACTIVE
APT-005-043,BLDG-005,HYD-SOUTH,1BHK,2026-02-02,ACTIVE
APT-005-044,BLDG-005,HYD-SOUTH,3BHK,2026-04-01,ACTIVE
APT-005-045,BLDG-005,HYD-SOUTH,2BHK,2026-01-01,ACTIVE
APT-005-046,BLDG-005,HYD-SOUTH,3BHK,2026-02-16,ACTIVE
APT-005-047,BLDG-005,HYD-SOUTH,2.5BHK,2026-01-09,ACTIVE
APT-005-048,BLDG-005,HYD-SOUTH,2.5BHK,2026-03-21,ACTIVE
APT-005-049,BLDG-005,HYD-SOUTH,1BHK,2026-03-26,ACTIVE
APT-005-050,BLDG-005,HYD-SOUTH,2.5BHK,2026-04-03,ACTIVE
APT-006-001,BLDG-006,HYD-NORTH,2.5BHK,2026-03-06,ACTIVE
APT-006-002,BLDG-006,HYD-NORTH,3BHK,2026-03-27,ACTIVE
APT-006-003,BLDG-006,HYD-NORTH,3BHK,2026-02-11,ACTIVE
APT-006-004,BLDG-006,HYD-NORTH,2.5BHK,2026-03-31,ACTIVE
APT-006-005,BLDG-006,HYD-NORTH,2BHK,2026-03-12,ACTIVE
APT-006-006,BLDG-006,HYD-NORTH,3BHK,2026-01-25,ACTIVE
APT-006-007,BLDG-006,HYD-NORTH,3BHK,2026-03-27,ACTIVE
APT-006-008,BLDG-006,HYD-NORTH,2BHK,2026-03-28,ACTIVE
APT-006-009,BLDG-006,HYD-NORTH,2.5BHK,2026-03-20,ACTIVE
APT-006-010,BLDG-006,HYD-NORTH,1BHK,2026-02-21,ACTIVE
APT-006-011,BLDG-006,HYD-NORTH,2.5BHK,2026-02-08,ACTIVE
APT-006-012,BLDG-006,HYD-NORTH,3BHK,2026-01-27,ACTIVE
APT-006-013,BLDG-006,HYD-NORTH,2.5BHK,2026-04-11,ACTIVE
APT-006-014,BLDG-006,HYD-NORTH,3BHK,2026-03-01,ACTIVE
APT-006-015,BLDG-006,HYD-NORTH,2BHK,2026-02-26,ACTIVE
APT-006-016,BLDG-006,HYD-NORTH,3BHK,2026-03-07,ACTIVE
APT-006-017,BLDG-006,HYD-NORTH,2BHK,2026-04-12,ACTIVE
APT-006-018,BLDG-006,HYD-NORTH,1BHK,2026-03-26,ACTIVE
APT-006-019,BLDG-006,HYD-NORTH,2.5BHK,2026-02-06,ACTIVE
APT-006-020,BLDG-006,HYD-NORTH,2BHK,2026-01-12,ACTIVE
APT-006-021,BLDG-006,HYD-NORTH,2.5BHK,2026-03-28,ACTIVE
APT-006-022,BLDG-006,HYD-NORTH,2BHK,2026-01-29,ACTIVE
APT-006-023,BLDG-006,HYD-NORTH,1BHK,2026-01-19,ACTIVE
APT-006-024,BLDG-006,HYD-NORTH,2BHK,2026-01-06,ACTIVE
APT-006-025,BLDG-006,HYD-NORTH,1BHK,2026-03-02,ACTIVE
APT-006-026,BLDG-006,HYD-NORTH,3BHK,2026-02-28,ACTIVE
APT-006-027,BLDG-006,HYD-NORTH,2BHK,2026-04-24,ACTIVE
APT-006-028,BLDG-006,HYD-NORTH,3BHK,2026-04-02,ACTIVE
APT-006-029,BLDG-006,HYD-NORTH,3BHK,2026-03-05,ACTIVE
APT-006-030,BLDG-006,HYD-NORTH,2BHK,2026-02-01,ACTIVE
APT-006-031,BLDG-006,HYD-NORTH,1BHK,2026-03-25,ACTIVE
APT-006-032,BLDG-006,HYD-NORTH,1BHK,2026-04-25,ACTIVE
APT-006-033,BLDG-006,HYD-NORTH,3BHK,2026-04-10,ACTIVE
APT-006-034,BLDG-006,HYD-NORTH,2BHK,2026-01-29,ACTIVE
APT-006-035,BLDG-006,HYD-NORTH,3BHK,2026-04-13,ACTIVE
APT-006-036,BLDG-006,HYD-NORTH,2BHK,2026-01-07,ACTIVE
APT-006-037,BLDG-006,HYD-NORTH,1BHK,2026-04-28,ACTIVE
APT-006-038,BLDG-006,HYD-NORTH,2BHK,2026-02-28,ACTIVE
APT-006-039,BLDG-006,HYD-NORTH,3BHK,2026-04-13,ACTIVE
APT-006-040,BLDG-006,HYD-NORTH,2.5BHK,2026-03-27,ACTIVE
APT-006-041,BLDG-006,HYD-NORTH,3BHK,2026-04-07,ACTIVE
APT-006-042,BLDG-006,HYD-NORTH,3BHK,2026-03-20,ACTIVE
APT-006-043,BLDG-006,HYD-NORTH,3BHK,2026-04-17,ACTIVE
APT-006-044,BLDG-006,HYD-NORTH,2BHK,2026-04-25,ACTIVE
APT-006-045,BLDG-006,HYD-NORTH,3BHK,2026-04-06,ACTIVE
APT-006-046,BLDG-006,HYD-NORTH,2.5BHK,2026-02-27,ACTIVE
APT-006-047,BLDG-006,HYD-NORTH,2BHK,2026-04-07,ACTIVE
APT-006-048,BLDG-006,HYD-NORTH,2.5BHK,2026-04-18,ACTIVE
APT-006-049,BLDG-006,HYD-NORTH,3BHK,2026-04-09,ACTIVE
APT-006-050,BLDG-006,HYD-NORTH,2BHK,2026-03-22,ACTIVE
APT-007-001,BLDG-007,HYD-EAST,3BHK,2026-02-05,ACTIVE
APT-007-002,BLDG-007,HYD-EAST,2.5BHK,2026-01-10,ACTIVE
APT-007-003,BLDG-007,HYD-EAST,2.5BHK,2026-01-31,ACTIVE
APT-007-004,BLDG-007,HYD-EAST,2.5BHK,2026-02-12,ACTIVE
APT-007-005,BLDG-007,HYD-EAST,1BHK,2026-04-25,ACTIVE
APT-007-006,BLDG-007,HYD-EAST,2BHK,2026-01-18,ACTIVE
APT-007-007,BLDG-007,HYD-EAST,3BHK,2026-01-30,ACTIVE
APT-007-008,BLDG-007,HYD-EAST,2BHK,2026-03-30,ACTIVE
APT-007-009,BLDG-007,HYD-EAST,2BHK,2026-04-01,ACTIVE
APT-007-010,BLDG-007,HYD-EAST,3BHK,2026-01-09,ACTIVE
APT-007-011,BLDG-007,HYD-EAST,2.5BHK,2026-02-22,ACTIVE
APT-007-012,BLDG-007,HYD-EAST,3BHK,2026-03-11,ACTIVE
APT-007-013,BLDG-007,HYD-EAST,1BHK,2026-02-23,ACTIVE
APT-007-014,BLDG-007,HYD-EAST,3BHK,2026-01-27,ACTIVE
APT-007-015,BLDG-007,HYD-EAST,1BHK,2026-02-19,ACTIVE
APT-007-016,BLDG-007,HYD-EAST,3BHK,2026-04-20,ACTIVE
APT-007-017,BLDG-007,HYD-EAST,1BHK,2026-03-03,ACTIVE
APT-007-018,BLDG-007,HYD-EAST,2.5BHK,2026-05-01,ACTIVE
APT-007-019,BLDG-007,HYD-EAST,3BHK,2026-02-08,ACTIVE
APT-007-020,BLDG-007,HYD-EAST,3BHK,2026-04-20,ACTIVE
APT-007-021,BLDG-007,HYD-EAST,2BHK,2026-03-10,ACTIVE
APT-007-022,BLDG-007,HYD-EAST,2BHK,2026-03-04,ACTIVE
APT-007-023,BLDG-007,HYD-EAST,3BHK,2026-02-04,ACTIVE
APT-007-024,BLDG-007,HYD-EAST,1BHK,2026-03-04,ACTIVE
APT-007-025,BLDG-007,HYD-EAST,2.5BHK,2026-02-19,ACTIVE
APT-007-026,BLDG-007,HYD-EAST,3BHK,2026-03-27,ACTIVE
APT-007-027,BLDG-007,HYD-EAST,2BHK,2026-04-03,ACTIVE
