exception_id,event_date,apartment_id,service_type,exception_code,severity,status
EXC-0062,2026-05-01,APT-010-037,RENTAL,DUPLICATE_USAGE,LOW,OPEN
EXC-0063,2026-05-20,APT-002-015,WATER,PLAN_CONFLICT,LOW,ESCALATED
EXC-0064,2026-07-21,APT-003-004,BOTH,DUPLICATE_USAGE,HIGH,RESOLVED
EXC-0065,2026-06-21,APT-010-017,BOTH,MISSING_USAGE,LOW,RESOLVED
EXC-0066,2026-08-21,APT-005-004,BOTH,USAGE_ANOMALY,MEDIUM,ESCALATED
EXC-0067,2026-07-27,APT-010-020,WATER,REVENUE_MISMATCH,HIGH,ESCALATED
EXC-0068,2026-08-12,APT-009-001,RENTAL,MISSING_USAGE,MEDIUM,OPEN
EXC-0069,2026-05-08,APT-006-041,BOTH,MISSING_INSTALLATION,LOW,OPEN
EXC-0070,2026-08-23,APT-008-050,WATER,USAGE_ANOMALY,HIGH,RESOLVED
EXC-0071,2026-07-15,APT-003-036,RENTAL,REVENUE_MISMATCH,MEDIUM,ESCALATED
EXC-0072,2026-09-03,APT-005-043,WATER,DUPLICATE_USAGE,MEDIUM,RESOLVED
EXC-0073,2026-05-07,APT-007-017,BOTH,REVENUE_MISMATCH,HIGH,RESOLVED
EXC-0074,2026-04-10,APT-005-003,RENTAL,REVENUE_MISMATCH,LOW,OPEN
EXC-0075,2026-07-31,APT-010-022,RENTAL,USAGE_ANOMALY,LOW,RESOLVED
EXC-0076,2026-06-17,APT-004-010,RENTAL,PLAN_CONFLICT,HIGH,ESCALATED
EXC-0077,2026-04-26,APT-010-048,WATER,DUPLICATE_USAGE,MEDIUM,ESCALATED
EXC-0078,2026-07-23,APT-008-047,RENTAL,USAGE_ANOMALY,HIGH,RESOLVED
EXC-0079,2026-09-02,APT-007-031,WATER,DUPLICATE_USAGE,MEDIUM,OPEN
EXC-0080,2026-07-14,APT-008-030,RENTAL,MISSING_INSTALLATION,MEDIUM,OPEN
EXC-0081,2026-08-10,APT-009-006,WATER,MISSING_USAGE,MEDIUM,ESCALATED
EXC-0082,2026-08-08,APT-005-007,WATER,MISSING_INSTALLATION,HIGH,OPEN
EXC-0083,2026-05-15,APT-002-049,WATER,MISSING_USAGE,LOW,OPEN
EXC-0084,2026-07-26,APT-001-026,RENTAL,REVENUE_MISMATCH,LOW,RESOLVED
EXC-0085,2026-07-04,APT-009-022,RENTAL,MISSING_INSTALLATION,MEDIUM,ESCALATED
EXC-0086,2026-05-02,APT-007-049,WATER,DUPLICATE_USAGE,MEDIUM,RESOLVED
EXC-0087,2026-08-31,APT-005-029,WATER,PLAN_CONFLICT,HIGH,ESCALATED
EXC-0088,2026-06-29,APT-004-027,WATER,USAGE_ANOMALY,HIGH,ESCALATED
EXC-0089,2026-04-24,APT-003-046,WATER,PLAN_CONFLICT,LOW,OPEN
EXC-0090,2026-08-25,APT-008-050,WATER,DUPLICATE_USAGE,HIGH,OPEN
EXC-0091,2026-09-21,APT-003-006,RENTAL,REVENUE_MISMATCH,MEDIUM,ESCALATED
EXC-0092,2026-04-06,APT-009-043,BOTH,MISSING_USAGE,MEDIUM,OPEN
EXC-0093,2026-09-13,APT-002-039,BOTH,MISSING_USAGE,LOW,RESOLVED
EXC-0094,2026-09-03,APT-009-013,RENTAL,REVENUE_MISMATCH,HIGH,ESCALATED
EXC-0095,2026-06-10,APT-005-017,RENTAL,USAGE_ANOMALY,MEDIUM,RESOLVED
EXC-0096,2026-05-26,APT-005-039,RENTAL,REVENUE_MISMATCH,HIGH,ESCALATED
EXC-0097,2026-07-11,APT-006-050,WATER,MISSING_USAGE,HIGH,ESCALATED
EXC-0098,2026-07-05,APT-006-038,BOTH,MISSING_INSTALLATION,HIGH,RESOLVED
EXC-0099,2026-06-16,APT-008-001,WATER,PLAN_CONFLICT,LOW,RESOLVED
EXC-0100,2026-06-10,APT-007-028,RENTAL,USAGE_ANOMALY,MEDIUM,ESCALATED
EXC-0101,2026-09-30,APT-010-038,BOTH,USAGE_ANOMALY,LOW,OPEN
EXC-0102,2026-08-11,APT-008-042,WATER,MISSING_USAGE,HIGH,RESOLVED
EXC-0103,2026-09-17,APT-004-014,BOTH,DUPLICATE_USAGE,HIGH,OPEN
EXC-0104,2026-09-15,APT-006-005,RENTAL,USAGE_ANOMALY,MEDIUM,RESOLVED
EXC-0105,2026-07-09,APT-008-028,WATER,MISSING_INSTALLATION,HIGH,ESCALATED
EXC-0106,2026-05-19,APT-004-026,BOTH,REVENUE_MISMATCH,LOW,ESCALATED
EXC-0107,2026-08-15,APT-007-027,RENTAL,REVENUE_MISMATCH,MEDIUM,ESCALATED
EXC-0108,2026-06-16,APT-009-033,WATER,REVENUE_MISMATCH,HIGH,OPEN
EXC-0109,2026-06-15,APT-001-050,RENTAL,DUPLICATE_USAGE,HIGH,RESOLVED
EXC-0110,2026-08-22,APT-008-041,WATER,REVENUE_MISMATCH,MEDIUM,ESCALATED
EXC-0111,2026-04-23,APT-003-014,RENTAL,DUPLICATE_USAGE,HIGH,RESOLVED
EXC-0112,2026-07-17,APT-009-004,RENTAL,USAGE_ANOMALY,MEDIUM,ESCALATED
EXC-0113,2026-06-15,APT-005-038,WATER,PLAN_CONFLICT,LOW,ESCALATED
EXC-0114,2026-08-28,APT-006-048,BOTH,MISSING_USAGE,MEDIUM,OPEN
EXC-0115,2026-08-07,APT-002-012,BOTH,PLAN_CONFLICT,HIGH,RESOLVED
EXC-0116,2026-07-15,APT-001-028,WATER,DUPLICATE_USAGE,LOW,RESOLVED
EXC-0117,2026-07-14,APT-006-042,RENTAL,DUPLICATE_USAGE,MEDIUM,ESCALATED
EXC-0118,2026-05-17,APT-008-049,WATER,PLAN_CONFLICT,MEDIUM,ESCALATED
EXC-0119,2026-05-16,APT-004-011,BOTH,MISSING_USAGE,LOW,RESOLVED
EXC-0120,2026-06-10,APT-003-008,WATER,MISSING_INSTALLATION,LOW,RESOLVED
