billing_month,apartment_id,location_code,water_device_id,rental_device_id,water_plan_id,rental_plan_id,water_active_days,rental_active_days,water_usage_m3,water_revenue,rental_revenue,total_revenue,validation_flag,exception_code
2026-09,APT-001-028,HYD-NORTH,WTR-001-028,RNT-001-028,WPLAN-001,RPLAN-002,30,261,19.288,825.08,10440.0,11265.08,PASS,
2026-09,APT-001-029,HYD-NORTH,WTR-001-029,RNT-001-029,WPLAN-002,RPLAN-002,30,157,17.881,915.24,6280.0,7195.24,PASS,
2026-09,APT-001-030,HYD-NORTH,WTR-001-030,RNT-001-030,WPLAN-003,RPLAN-001,30,198,18.065,1167.12,5280.0,6447.12,PASS,
2026-09,APT-001-031,HYD-NORTH,WTR-001-031,RNT-001-031,WPLAN-003,RPLAN-001,30,173,11.556,854.69,4613.33,5468.02,PASS,
2026-09,APT-001-032,HYD-NORTH,WTR-001-032,RNT-001-032,WPLAN-002,RPLAN-003,30,267,16.201,848.04,14240.0,15088.04,PASS,
2026-09,APT-001-033,HYD-NORTH,WTR-001-033,RNT-001-033,WPLAN-001,RPLAN-003,30,168,18.58,800.3,8960.0,9760.3,PASS,
2026-09,APT-001-034,HYD-NORTH,WTR-001-034,RNT-001-034,WPLAN-003,RPLAN-001,30,256,15.611,1049.33,6826.67,7876.0,PASS,
2026-09,APT-001-035,HYD-NORTH,WTR-001-035,RNT-001-035,WPLAN-001,RPLAN-002,30,150,11.799,562.96,6000.0,6562.96,PASS,
2026-09,APT-001-036,HYD-NORTH,WTR-001-036,RNT-001-036,WPLAN-002,RPLAN-002,30,211,19.89,995.6,8440.0,9435.6,PASS,
2026-09,APT-001-037,HYD-NORTH,WTR-001-037,RNT-001-037,WPLAN-003,RPLAN-002,30,215,20.111,1265.33,8600.0,9865.33,PASS,
2026-09,APT-001-038,HYD-NORTH,WTR-001-038,RNT-001-038,WPLAN-001,RPLAN-003,30,252,19.868,845.38,13440.0,14285.38,PASS,
2026-09,APT-001-039,HYD-NORTH,WTR-001-039,RNT-001-039,WPLAN-001,RPLAN-003,30,217,15.674,698.59,11573.33,12271.92,PASS,
2026-09,APT-001-040,HYD-NORTH,WTR-001-040,RNT-001-040,WPLAN-001,RPLAN-001,30,181,18.114,783.99,4826.67,5610.66,PASS,
2026-09,APT-001-041,HYD-NORTH,WTR-001-041,RNT-001-041,WPLAN-002,RPLAN-002,30,179,10.982,639.28,7160.0,7799.28,PASS,
2026-09,APT-001-042,HYD-NORTH,WTR-001-042,RNT-001-042,WPLAN-003,RPLAN-002,30,194,16.182,1076.74,7760.0,8836.74,PASS,
2026-09,APT-001-043,HYD-NORTH,WTR-001-043,RNT-001-043,WPLAN-003,RPLAN-001,30,198,16.572,1095.46,5280.0,6375.46,PASS,
2026-09,APT-001-044,HYD-NORTH,WTR-001-044,RNT-001-044,WPLAN-003,RPLAN-001,30,246,23.415,1423.92,6560.0,7983.92,PASS,
2026-09,APT-001-045,HYD-NORTH,WTR-001-045,RNT-001-045,WPLAN-001,RPLAN-001,30,211,18.008,780.28,5626.67,6406.95,PASS,
2026-09,APT-001-046,HYD-NORTH,WTR-001-046,RNT-001-046,WPLAN-003,RPLAN-003,30,141,16.79,1105.92,7520.0,8625.92,PASS,
2026-09,APT-001-047,HYD-NORTH,WTR-001-047,RNT-001-047,WPLAN-002,RPLAN-002,30,184,19.196,967.84,7360.0,8327.84,PASS,
2026-09,APT-001-048,HYD-NORTH,WTR-001-048,RNT-001-048,WPLAN-001,RPLAN-001,30,157,11.707,559.74,4186.67,4746.41,PASS,
2026-09,APT-001-049,HYD-NORTH,WTR-001-049,RNT-001-049,WPLAN-003,RPLAN-002,30,236,11.7,861.6,9440.0,10301.6,PASS,
2026-09,APT-001-050,HYD-NORTH,WTR-001-050,RNT-001-050,WPLAN-003,RPLAN-003,30,164,17.782,1153.54,8746.67,9900.21,PASS,
2026-09,APT-002-001,HYD-EAST,WTR-002-001,RNT-002-001,WPLAN-003,RPLAN-001,30,219,19.232,1223.14,5840.0,7063.14,PASS,
2026-09,APT-002-002,HYD-EAST,WTR-002-002,RNT-002-002,WPLAN-001,RPLAN-002,30,254,16.123,714.3,10160.0,10874.3,PASS,
2026-09,APT-002-003,HYD-EAST,WTR-002-003,RNT-002-003,WPLAN-001,RPLAN-001,30,148,19.91,846.85,3946.67,4793.52,PASS,
2026-09,APT-002-004,HYD-EAST,WTR-002-004,RNT-002-004,WPLAN-003,RPLAN-001,30,238,22.586,1384.13,6346.67,7730.8,PASS,
2026-09,APT-002-005,HYD-EAST,WTR-002-005,RNT-002-005,WPLAN-003,RPLAN-002,30,208,22.726,1390.85,8320.0,9710.85,PASS,
2026-09,APT-002-006,HYD-EAST,WTR-002-006,RNT-002-006,WPLAN-001,RPLAN-002,30,244,17.558,764.53,9760.0,10524.53,PASS,
2026-09,APT-002-007,HYD-EAST,WTR-002-007,RNT-002-007,WPLAN-001,RPLAN-003,30,248,16.459,726.06,13226.67,13952.73,PASS,
2026-09,APT-002-008,HYD-EAST,WTR-002-008,RNT-002-008,WPLAN-001,RPLAN-003,30,175,19.761,841.64,9333.33,10174.97,PASS,
2026-09,APT-002-009,HYD-EAST,WTR-002-009,RNT-002-009,WPLAN-002,RPLAN-003,30,169,20.567,1022.68,9013.33,10036.01,PASS,
2026-09,APT-002-010,HYD-EAST,WTR-002-010,RNT-002-010,WPLAN-003,RPLAN-002,30,148,20.341,1276.37,5920.0,7196.37,PASS,
2026-09,APT-002-011,HYD-EAST,WTR-002-011,RNT-002-011,WPLAN-002,RPLAN-003,30,225,15.275,811.0,12000.0,12811.0,PASS,
2026-09,APT-002-012,HYD-EAST,WTR-002-012,RNT-002-012,WPLAN-001,RPLAN-003,30,243,20.222,857.77,12960.0,13817.77,PASS,
2026-09,APT-002-013,HYD-EAST,WTR-002-013,RNT-002-013,WPLAN-003,RPLAN-001,30,258,11.59,856.32,6880.0,7736.32,PASS,
2026-09,APT-002-014,HYD-EAST,WTR-002-014,RNT-002-014,WPLAN-003,RPLAN-003,30,155,11.521,853.01,8266.67,9119.68,PASS,
2026-09,APT-002-015,HYD-EAST,WTR-002-015,RNT-002-015,WPLAN-002,RPLAN-001,30,239,16.463,858.52,6373.33,7231.85,PASS,
2026-09,APT-002-016,HYD-EAST,WTR-002-016,RNT-002-016,WPLAN-001,RPLAN-002,30,169,22.087,923.04,6760.0,7683.04,PASS,
2026-09,APT-002-017,HYD-EAST,WTR-002-017,RNT-002-017,WPLAN-001,RPLAN-001,30,193,10.559,519.57,5146.67,5666.24,PASS,
2026-09,APT-002-018,HYD-EAST,WTR-002-018,RNT-002-018,WPLAN-002,RPLAN-003,30,213,22.371,1094.84,11360.0,12454.84,PASS,
2026-09,APT-002-019,HYD-EAST,WTR-002-019,RNT-002-019,WPLAN-003,RPLAN-003,30,197,20.214,1270.27,10506.67,11776.94,PASS,
2026-09,APT-002-020,HYD-EAST,WTR-002-020,RNT-002-020,WPLAN-002,RPLAN-002,30,192,18.89,955.6,7680.0,8635.6,PASS,
2026-09,APT-002-021,HYD-EAST,WTR-002-021,RNT-002-021,WPLAN-001,RPLAN-003,30,191,11.519,553.16,10186.67,10739.83,PASS,
2026-09,APT-002-022,HYD-EAST,WTR-002-022,RNT-002-022,WPLAN-002,RPLAN-002,30,183,11.373,654.92,7320.0,7974.92,PASS,
2026-09,APT-002-023,HYD-EAST,WTR-002-023,RNT-002-023,WPLAN-002,RPLAN-001,30,171,18.655,946.2,4560.0,5506.2,PASS,
2026-09,APT-002-024,HYD-EAST,WTR-002-024,RNT-002-024,WPLAN-002,RPLAN-003,30,168,19.088,963.52,8960.0,9923.52,PASS,
2026-09,APT-002-025,HYD-EAST,WTR-002-025,RNT-002-025,WPLAN-002,RPLAN-002,30,245,19.324,972.96,9800.0,10772.96,PASS,
2026-09,APT-002-026,HYD-EAST,WTR-002-026,RNT-002-026,WPLAN-001,RPLAN-003,30,205,17.06,747.1,10933.33,11680.43,PASS,
2026-09,APT-002-027,HYD-EAST,WTR-002-027,RNT-002-027,WPLAN-003,RPLAN-003,30,214,11.422,848.26,11413.33,12261.59,PASS,
2026-09,APT-002-028,HYD-EAST,WTR-002-028,RNT-002-028,WPLAN-002,RPLAN-001,30,166,18.87,954.8,4426.67,5381.47,PASS,
2026-09,APT-002-029,HYD-EAST,WTR-002-029,RNT-002-029,WPLAN-003,RPLAN-002,30,202,17.118,1121.66,8080.0,9201.66,PASS,
2026-09,APT-002-030,HYD-EAST,WTR-002-030,RNT-002-030,WPLAN-001,RPLAN-003,30,197,11.945,568.08,10506.67,11074.75,PASS,
2026-09,APT-002-031,HYD-EAST,WTR-002-031,RNT-002-031,WPLAN-001,RPLAN-001,30,149,19.173,821.06,3973.33,4794.39,PASS,
2026-09,APT-002-032,HYD-EAST,WTR-002-032,RNT-002-032,WPLAN-002,RPLAN-001,30,153,16.192,847.68,4080.0,4927.68,PASS,
2026-09,APT-002-033,HYD-EAST,WTR-002-033,RNT-002-033,WPLAN-002,RPLAN-003,30,239,17.731,909.24,12746.67,13655.91,PASS,
2026-09,APT-002-034,HYD-EAST,WTR-002-034,RNT-002-034,WPLAN-003,RPLAN-001,30,168,16.883,1110.38,4480.0,5590.38,PASS,
2026-09,APT-002-035,HYD-EAST,WTR-002-035,RNT-002-035,WPLAN-003,RPLAN-002,30,198,11.753,864.14,7920.0,8784.14,PASS,
2026-09,APT-002-036,HYD-EAST,WTR-002-036,RNT-002-036,WPLAN-002,RPLAN-002,30,190,18.118,924.72,7600.0,8524.72,PASS,
2026-09,APT-002-037,HYD-EAST,WTR-002-037,RNT-002-037,WPLAN-001,RPLAN-001,30,200,12.151,575.28,5333.33,5908.61,PASS,
2026-09,APT-002-038,HYD-EAST,WTR-002-038,RNT-002-038,WPLAN-001,RPLAN-002,30,258,18.952,813.32,10320.0,11133.32,PASS,
2026-09,APT-002-039,HYD-EAST,WTR-002-039,RNT-002-039,WPLAN-002,RPLAN-002,30,155,18.399,935.96,6200.0,7135.96,PASS,
2026-09,APT-002-040,HYD-EAST,WTR-002-040,RNT-002-040,WPLAN-002,RPLAN-001,30,241,12.005,680.2,6426.67,7106.87,PASS,
2026-09,APT-002-041,HYD-EAST,WTR-002-041,RNT-002-041,WPLAN-001,RPLAN-001,30,243,11.393,548.76,6480.0,7028.76,PASS,
2026-09,APT-002-042,HYD-EAST,WTR-002-042,RNT-002-042,WPLAN-001,RPLAN-002,30,256,21.887,916.04,10240.0,11156.04,PASS,
2026-09,APT-002-043,HYD-EAST,WTR-002-043,RNT-002-043,WPLAN-002,RPLAN-003,30,167,11.386,655.44,8906.67,9562.11,PASS,
2026-09,APT-002-044,HYD-EAST,WTR-002-044,RNT-002-044,WPLAN-003,RPLAN-003,30,170,15.697,1053.46,9066.67,10120.13,PASS,
2026-09,APT-002-045,HYD-EAST,WTR-002-045,RNT-002-045,WPLAN-002,RPLAN-001,30,253,22.215,1088.6,6746.67,7835.27,PASS,
2026-09,APT-002-046,HYD-EAST,WTR-002-046,RNT-002-046,WPLAN-001,RPLAN-001,30,195,16.05,711.75,5200.0,5911.75,PASS,
2026-09,APT-002-047,HYD-EAST,WTR-002-047,RNT-002-047,WPLAN-002,RPLAN-003,30,232,22.649,1105.96,12373.33,13479.29,PASS,
2026-09,APT-002-048,HYD-EAST,WTR-002-048,RNT-002-048,WPLAN-001,RPLAN-003,30,246,15.868,705.38,13120.0,13825.38,PASS,
2026-09,APT-002-049,HYD-EAST,WTR-002-049,RNT-002-049,WPLAN-003,RPLAN-002,30,171,17.496,1139.81,6840.0,7979.81,PASS,
2026-09,APT-002-050,HYD-EAST,WTR-002-050,RNT-002-050,WPLAN-002,RPLAN-001,30,222,19.547,981.88,5920.0,6901.88,PASS,
2026-09,APT-003-001,HYD-WEST,WTR-003-001,RNT-003-001,WPLAN-002,RPLAN-002,30,216,21.318,1052.72,8640.0,9692.72,PASS,
2026-09,APT-003-002,HYD-WEST,WTR-003-002,RNT-003-002,WPLAN-002,RPLAN-001,30,255,15.958,838.32,6800.0,7638.32,PASS,
2026-09,APT-003-003,HYD-WEST,WTR-003-003,RNT-003-003,WPLAN-003,RPLAN-003,30,230,10.699,813.55,12266.67,13080.22,PASS,
2026-09,APT-003-004,HYD-WEST,WTR-003-004,RNT-003-004,WPLAN-001,RPLAN-003,30,227,11.894,566.29,12106.67,12672.96,PASS,
2026-09,APT-003-005,HYD-WEST,WTR-003-005,RNT-003-005,WPLAN-003,RPLAN-001,30,197,16.347,1084.66,5253.33,6337.99,PASS,
2026-09,APT-003-006,HYD-WEST,WTR-003-006,RNT-003-006,WPLAN-003,RPLAN-002,30,184,16.017,1068.82,7360.0,8428.82,PASS,
2026-09,APT-003-007,HYD-WEST,WTR-003-007,RNT-003-007,WPLAN-001,RPLAN-001,30,272,10.679,523.76,7253.33,7777.09,PASS,
2026-09,APT-003-008,HYD-WEST,WTR-003-008,RNT-003-008,WPLAN-002,RPLAN-002,30,170,11.916,676.64,6800.0,7476.64,PASS,
2026-09,APT-003-009,HYD-WEST,WTR-003-009,RNT-003-009,WPLAN-002,RPLAN-002,30,229,11.239,649.56,9160.0,9809.56,PASS,
2026-09,APT-003-010,HYD-WEST,WTR-003-010,RNT-003-010,WPLAN-001,RPLAN-001,30,156,10.871,530.48,4160.0,4690.48,PASS,
2026-09,APT-003-011,HYD-WEST,WTR-003-011,RNT-003-011,WPLAN-001,RPLAN-002,30,159,18.283,789.91,6360.0,7149.91,PASS,
2026-09,APT-003-012,HYD-WEST,WTR-003-012,RNT-003-012,WPLAN-002,RPLAN-002,30,256,17.774,910.96,10240.0,11150.96,PASS,
2026-09,APT-003-013,HYD-WEST,WTR-003-013,RNT-003-013,WPLAN-002,RPLAN-002,30,226,21.795,1071.8,9040.0,10111.8,PASS,
2026-09,APT-003-014,HYD-WEST,WTR-003-014,RNT-003-014,WPLAN-001,RPLAN-002,30,232,16.492,727.22,9280.0,10007.22,PASS,
2026-09,APT-003-015,HYD-WEST,WTR-003-015,RNT-003-015,WPLAN-002,RPLAN-001,30,178,21.6,1064.0,4746.67,5810.67,PASS,
2026-09,APT-003-016,HYD-WEST,WTR-003-016,RNT-003-016,WPLAN-003,RPLAN-003,30,236,20.47,1282.56,12586.67,13869.23,PASS,
2026-09,APT-003-017,HYD-WEST,WTR-003-017,RNT-003-017,WPLAN-002,RPLAN-003,30,163,22.227,1089.08,8693.33,9782.41,PASS,
2026-09,APT-003-018,HYD-WEST,WTR-003-018,RNT-003-018,WPLAN-003,RPLAN-001,30,235,11.267,840.82,6266.67,7107.49,PASS,
2026-09,APT-003-019,HYD-WEST,WTR-003-019,RNT-003-019,WPLAN-002,RPLAN-001,30,258,21.69,1067.6,6880.0,7947.6,PASS,
2026-09,APT-003-020,HYD-WEST,WTR-003-020,RNT-003-020,WPLAN-001,RPLAN-002,30,218,22.758,946.53,8720.0,9666.53,PASS,
2026-09,APT-003-021,HYD-WEST,WTR-003-021,RNT-003-021,WPLAN-001,RPLAN-002,30,210,20.825,878.88,8400.0,9278.88,PASS,
2026-09,APT-003-022,HYD-WEST,WTR-003-022,RNT-003-022,WPLAN-002,RPLAN-003,30,161,11.764,670.56,8586.67,9257.23,PASS,
2026-09,APT-003-023,HYD-WEST,WTR-003-023,RNT-003-023,WPLAN-002,RPLAN-002,30,185,11.767,670.68,7400.0,8070.68,PASS,
2026-09,APT-003-024,HYD-WEST,WTR-003-024,RNT-003-024,WPLAN-002,RPLAN-002,30,255,21.482,1059.28,10200.0,11259.28,PASS,
2026-09,APT-003-025,HYD-WEST,WTR-003-025,RNT-003-025,WPLAN-002,RPLAN-003,30,170,18.061,922.44,9066.67,9989.11,PASS,
2026-09,APT-003-026,HYD-WEST,WTR-003-026,RNT-003-026,WPLAN-003,RPLAN-001,30,158,10.898,823.1,4213.33,5036.43,PASS,
2026-09,APT-003-027,HYD-WEST,WTR-003-027,RNT-003-027,WPLAN-002,RPLAN-002,30,241,16.695,867.8,9640.0,10507.8,PASS,
2026-09,APT-003-028,HYD-WEST,WTR-003-028,RNT-003-028,WPLAN-003,RPLAN-003,30,238,20.999,1307.95,12693.33,14001.28,PASS,
2026-09,APT-003-029,HYD-WEST,WTR-003-029,RNT-003-029,WPLAN-001,RPLAN-002,30,252,20.669,873.42,10080.0,10953.42,PASS,
2026-09,APT-003-030,HYD-WEST,WTR-003-030,RNT-003-030,WPLAN-002,RPLAN-001,30,243,17.933,917.32,6480.0,7397.32,PASS,
2026-09,APT-003-031,HYD-WEST,WTR-003-031,RNT-003-031,WPLAN-002,RPLAN-002,30,203,16.001,840.04,8120.0,8960.04,PASS,
2026-09,APT-003-032,HYD-WEST,WTR-003-032,RNT-003-032,WPLAN-002,RPLAN-003,30,155,11.815,672.6,8266.67,8939.27,PASS,
2026-09,APT-003-033,HYD-WEST,WTR-003-033,RNT-003-033,WPLAN-003,RPLAN-003,30,209,11.969,874.51,11146.67,12021.18,PASS,
2026-09,APT-003-034,HYD-WEST,WTR-003-034,RNT-003-034,WPLAN-002,RPLAN-003,30,259,11.841,673.64,13813.33,14486.97,PASS,
2026-09,APT-003-035,HYD-WEST,WTR-003-035,RNT-003-035,WPLAN-001,RPLAN-002,30,252,16.372,723.02,10080.0,10803.02,PASS,
2026-09,APT-003-036,HYD-WEST,WTR-003-036,RNT-003-036,WPLAN-002,RPLAN-002,30,247,20.64,1025.6,9880.0,10905.6,PASS,
2026-09,APT-003-037,HYD-WEST,WTR-003-037,RNT-003-037,WPLAN-002,RPLAN-002,30,209,21.575,1063.0,8360.0,9423.0,PASS,
2026-09,APT-003-038,HYD-WEST,WTR-003-038,RNT-003-038,WPLAN-001,RPLAN-003,30,244,21.262,894.17,13013.33,13907.5,PASS,
2026-09,APT-003-039,HYD-WEST,WTR-003-039,RNT-003-039,WPLAN-001,RPLAN-003,30,146,11.406,549.21,7786.67,8335.88,PASS,
2026-09,APT-003-040,HYD-WEST,WTR-003-040,RNT-003-040,WPLAN-003,RPLAN-001,30,242,20.935,1304.88,6453.33,7758.21,PASS,
2026-09,APT-003-041,HYD-WEST,WTR-003-041,RNT-003-041,WPLAN-003,RPLAN-003,30,264,20.495,1283.76,14080.0,15363.76,PASS,
2026-09,APT-003-042,HYD-WEST,WTR-003-042,RNT-003-042,WPLAN-001,RPLAN-003,30,238,21.355,897.42,12693.33,13590.75,PASS,
2026-09,APT-003-043,HYD-WEST,WTR-003-043,RNT-003-043,WPLAN-002,RPLAN-003,30,232,21.537,1061.48,12373.33,13434.81,PASS,
2026-09,APT-003-044,HYD-WEST,WTR-003-044,RNT-003-044,WPLAN-001,RPLAN-002,30,182,21.671,908.48,7280.0,8188.48,PASS,
2026-09,APT-003-045,HYD-WEST,WTR-003-045,RNT-003-045,WPLAN-002,RPLAN-003,30,241,15.868,834.72,12853.33,13688.05,PASS,
2026-09,APT-003-046,HYD-WEST,WTR-003-046,RNT-003-046,WPLAN-001,RPLAN-002,30,223,16.979,744.26,8920.0,9664.26,PASS,
2026-09,APT-003-047,HYD-WEST,WTR-003-047,RNT-003-047,WPLAN-003,RPLAN-002,30,263,12.213,886.22,10520.0,11406.22,PASS,
2026-09,APT-003-048,HYD-WEST,WTR-003-048,RNT-003-048,WPLAN-001,RPLAN-003,30,175,18.742,805.97,9333.33,10139.3,PASS,
2026-09,APT-003-049,HYD-WEST,WTR-003-049,RNT-003-049,WPLAN-002,RPLAN-001,30,257,11.698,667.92,6853.33,7521.25,PASS,
2026-09,APT-003-050,HYD-WEST,WTR-003-050,RNT-003-050,WPLAN-002,RPLAN-003,30,187,20.218,1008.72,9973.33,10982.05,PASS,
2026-09,APT-004-001,HYD-CENTRAL,WTR-004-001,RNT-004-001,WPLAN-001,RPLAN-003,30,209,16.589,730.62,11146.67,11877.29,PASS,
2026-09,APT-004-002,HYD-CENTRAL,WTR-004-002,RNT-004-002,WPLAN-002,RPLAN-002,30,260,11.623,664.92,10400.0,11064.92,PASS,
2026-09,APT-004-003,HYD-CENTRAL,WTR-004-003,RNT-004-003,WPLAN-001,RPLAN-002,30,156,16.125,714.38,6240.0,6954.38,PASS,
2026-09,APT-004-004,HYD-CENTRAL,WTR-004-004,RNT-004-004,WPLAN-003,RPLAN-002,30,265,11.596,856.61,10600.0,11456.61,PASS,
2026-09,APT-004-005,HYD-CENTRAL,WTR-004-005,RNT-004-005,WPLAN-003,RPLAN-002,30,182,16.023,1069.1,7280.0,8349.1,PASS,
2026-09,APT-004-006,HYD-CENTRAL,WTR-004-006,RNT-004-006,WPLAN-003,RPLAN-003,30,215,11.442,849.22,11466.67,12315.89,PASS,
2026-09,APT-004-007,HYD-CENTRAL,WTR-004-007,RNT-004-007,WPLAN-003,RPLAN-002,30,151,16.654,1099.39,6040.0,7139.39,PASS,
2026-09,APT-004-008,HYD-CENTRAL,WTR-004-008,RNT-004-008,WPLAN-003,RPLAN-001,30,186,11.845,868.56,4960.0,5828.56,PASS,
2026-09,APT-004-009,HYD-CENTRAL,WTR-004-009,RNT-004-009,WPLAN-002,RPLAN-003,30,192,11.227,649.08,10240.0,10889.08,PASS,
2026-09,APT-004-010,HYD-CENTRAL,WTR-004-010,RNT-004-010,WPLAN-003,RPLAN-003,30,208,18.438,1185.02,11093.33,12278.35,PASS,
2026-09,APT-004-011,HYD-CENTRAL,WTR-004-011,RNT-004-011,WPLAN-003,RPLAN-001,30,145,18.363,1181.42,3866.67,5048.09,PASS,
2026-09,APT-004-012,HYD-CENTRAL,WTR-004-012,RNT-004-012,WPLAN-001,RPLAN-001,30,247,18.076,782.66,6586.67,7369.33,PASS,
2026-09,APT-004-013,HYD-CENTRAL,WTR-004-013,RNT-004-013,WPLAN-003,RPLAN-003,30,229,19.155,1219.44,12213.33,13432.77,PASS,
2026-09,APT-004-014,HYD-CENTRAL,WTR-004-014,RNT-004-014,WPLAN-002,RPLAN-001,30,221,16.678,867.12,5893.33,6760.45,PASS,
2026-09,APT-004-015,HYD-CENTRAL,WTR-004-015,RNT-004-015,WPLAN-003,RPLAN-003,30,181,20.122,1265.86,9653.33,10919.19,PASS,
2026-09,APT-004-016,HYD-CENTRAL,WTR-004-016,RNT-004-016,WPLAN-001,RPLAN-003,30,213,18.769,806.92,11360.0,12166.92,PASS,
2026-09,APT-004-017,HYD-CENTRAL,WTR-004-017,RNT-004-017,WPLAN-003,RPLAN-003,30,145,10.473,802.7,7733.33,8536.03,PASS,
2026-09,APT-004-018,HYD-CENTRAL,WTR-004-018,RNT-004-018,WPLAN-003,RPLAN-002,30,267,21.014,1308.67,10680.0,11988.67,MANUAL_REVIEW,MISSING_USAGE
2026-09,APT-004-019,HYD-CENTRAL,WTR-004-019,RNT-004-019,WPLAN-002,RPLAN-002,30,188,11.487,659.48,7520.0,8179.48,PASS,
2026-09,APT-004-020,HYD-CENTRAL,WTR-004-020,RNT-004-020,WPLAN-001,RPLAN-001,30,260,16.313,720.96,6933.33,7654.29,PASS,
2026-09,APT-004-021,HYD-CENTRAL,WTR-004-021,RNT-004-021,WPLAN-001,RPLAN-002,30,205,17.853,774.86,8200.0,8974.86,PASS,
2026-09,APT-004-022,HYD-CENTRAL,WTR-004-022,RNT-004-022,WPLAN-001,RPLAN-003,30,252,18.123,784.3,13440.0,14224.3,PASS,
