assignment_id,apartment_id,service_type,device_id,plan_id,effective_from,effective_to,assignment_status
ASG-R-001-035,APT-001-035,RENTAL,RNT-001-035,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-036,APT-001-036,WATER,WTR-001-036,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-036,APT-001-036,RENTAL,RNT-001-036,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-037,APT-001-037,WATER,WTR-001-037,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-037,APT-001-037,RENTAL,RNT-001-037,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-038,APT-001-038,WATER,WTR-001-038,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-038,APT-001-038,RENTAL,RNT-001-038,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-039,APT-001-039,WATER,WTR-001-039,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-039,APT-001-039,RENTAL,RNT-001-039,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-040,APT-001-040,WATER,WTR-001-040,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-040,APT-001-040,RENTAL,RNT-001-040,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-041,APT-001-041,WATER,WTR-001-041,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-041,APT-001-041,RENTAL,RNT-001-041,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-042,APT-001-042,WATER,WTR-001-042,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-042,APT-001-042,RENTAL,RNT-001-042,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-043,APT-001-043,WATER,WTR-001-043,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-043,APT-001-043,RENTAL,RNT-001-043,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-044,APT-001-044,WATER,WTR-001-044,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-044,APT-001-044,RENTAL,RNT-001-044,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-045,APT-001-045,WATER,WTR-001-045,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-045,APT-001-045,RENTAL,RNT-001-045,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-046,APT-001-046,WATER,WTR-001-046,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-046,APT-001-046,RENTAL,RNT-001-046,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-047,APT-001-047,WATER,WTR-001-047,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-047,APT-001-047,RENTAL,RNT-001-047,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-048,APT-001-048,WATER,WTR-001-048,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-048,APT-001-048,RENTAL,RNT-001-048,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-049,APT-001-049,WATER,WTR-001-049,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-049,APT-001-049,RENTAL,RNT-001-049,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-050,APT-001-050,WATER,WTR-001-050,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-050,APT-001-050,RENTAL,RNT-001-050,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-001,APT-002-001,WATER,WTR-002-001,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-001,APT-002-001,RENTAL,RNT-002-001,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-002,APT-002-002,WATER,WTR-002-002,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-002,APT-002-002,RENTAL,RNT-002-002,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-003,APT-002-003,WATER,WTR-002-003,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-003,APT-002-003,RENTAL,RNT-002-003,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-004,APT-002-004,WATER,WTR-002-004,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-004,APT-002-004,RENTAL,RNT-002-004,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-005,APT-002-005,WATER,WTR-002-005,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-005,APT-002-005,RENTAL,RNT-002-005,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-006,APT-002-006,WATER,WTR-002-006,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-006,APT-002-006,RENTAL,RNT-002-006,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-007,APT-002-007,WATER,WTR-002-007,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-007,APT-002-007,RENTAL,RNT-002-007,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-008,APT-002-008,WATER,WTR-002-008,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-008,APT-002-008,RENTAL,RNT-002-008,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-009,APT-002-009,WATER,WTR-002-009,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-009,APT-002-009,RENTAL,RNT-002-009,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-010,APT-002-010,WATER,WTR-002-010,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-010,APT-002-010,RENTAL,RNT-002-010,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-011,APT-002-011,WATER,WTR-002-011,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-011,APT-002-011,RENTAL,RNT-002-011,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-012,APT-002-012,WATER,WTR-002-012,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-012,APT-002-012,RENTAL,RNT-002-012,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-013,APT-002-013,WATER,WTR-002-013,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-013,APT-002-013,RENTAL,RNT-002-013,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-014,APT-002-014,WATER,WTR-002-014,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-014,APT-002-014,RENTAL,RNT-002-014,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-015,APT-002-015,WATER,WTR-002-015,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-015,APT-002-015,RENTAL,RNT-002-015,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-016,APT-002-016,WATER,WTR-002-016,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-016,APT-002-016,RENTAL,RNT-002-016,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-017,APT-002-017,WATER,WTR-002-017,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-017,APT-002-017,RENTAL,RNT-002-017,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-018,APT-002-018,WATER,WTR-002-018,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-018,APT-002-018,RENTAL,RNT-002-018,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-019,APT-002-019,WATER,WTR-002-019,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-019,APT-002-019,RENTAL,RNT-002-019,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-020,APT-002-020,WATER,WTR-002-020,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-020,APT-002-020,RENTAL,RNT-002-020,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-021,APT-002-021,WATER,WTR-002-021,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-021,APT-002-021,RENTAL,RNT-002-021,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-022,APT-002-022,WATER,WTR-002-022,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-022,APT-002-022,RENTAL,RNT-002-022,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-023,APT-002-023,WATER,WTR-002-023,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-023,APT-002-023,RENTAL,RNT-002-023,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-024,APT-002-024,WATER,WTR-002-024,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-024,APT-002-024,RENTAL,RNT-002-024,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-025,APT-002-025,WATER,WTR-002-025,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-025,APT-002-025,RENTAL,RNT-002-025,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-026,APT-002-026,WATER,WTR-002-026,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-026,APT-002-026,RENTAL,RNT-002-026,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-027,APT-002-027,WATER,WTR-002-027,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-027,APT-002-027,RENTAL,RNT-002-027,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-028,APT-002-028,WATER,WTR-002-028,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-028,APT-002-028,RENTAL,RNT-002-028,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-029,APT-002-029,WATER,WTR-002-029,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-029,APT-002-029,RENTAL,RNT-002-029,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-030,APT-002-030,WATER,WTR-002-030,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-030,APT-002-030,RENTAL,RNT-002-030,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-031,APT-002-031,WATER,WTR-002-031,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-031,APT-002-031,RENTAL,RNT-002-031,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-032,APT-002-032,WATER,WTR-002-032,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-032,APT-002-032,RENTAL,RNT-002-032,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-033,APT-002-033,WATER,WTR-002-033,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-033,APT-002-033,RENTAL,RNT-002-033,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-034,APT-002-034,WATER,WTR-002-034,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-034,APT-002-034,RENTAL,RNT-002-034,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-035,APT-002-035,WATER,WTR-002-035,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-035,APT-002-035,RENTAL,RNT-002-035,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-036,APT-002-036,WATER,WTR-002-036,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-036,APT-002-036,RENTAL,RNT-002-036,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-037,APT-002-037,WATER,WTR-002-037,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-037,APT-002-037,RENTAL,RNT-002-037,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-038,APT-002-038,WATER,WTR-002-038,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-038,APT-002-038,RENTAL,RNT-002-038,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-039,APT-002-039,WATER,WTR-002-039,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-039,APT-002-039,RENTAL,RNT-002-039,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-040,APT-002-040,WATER,WTR-002-040,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-040,APT-002-040,RENTAL,RNT-002-040,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-041,APT-002-041,WATER,WTR-002-041,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-041,APT-002-041,RENTAL,RNT-002-041,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-042,APT-002-042,WATER,WTR-002-042,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-042,APT-002-042,RENTAL,RNT-002-042,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-043,APT-002-043,WATER,WTR-002-043,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-043,APT-002-043,RENTAL,RNT-002-043,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-044,APT-002-044,WATER,WTR-002-044,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-044,APT-002-044,RENTAL,RNT-002-044,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-045,APT-002-045,WATER,WTR-002-045,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-045,APT-002-045,RENTAL,RNT-002-045,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-046,APT-002-046,WATER,WTR-002-046,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-046,APT-002-046,RENTAL,RNT-002-046,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-047,APT-002-047,WATER,WTR-002-047,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-047,APT-002-047,RENTAL,RNT-002-047,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-048,APT-002-048,WATER,WTR-002-048,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-048,APT-002-048,RENTAL,RNT-002-048,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-049,APT-002-049,WATER,WTR-002-049,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-049,APT-002-049,RENTAL,RNT-002-049,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-002-050,APT-002-050,WATER,WTR-002-050,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-002-050,APT-002-050,RENTAL,RNT-002-050,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-001,APT-003-001,WATER,WTR-003-001,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-001,APT-003-001,RENTAL,RNT-003-001,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-002,APT-003-002,WATER,WTR-003-002,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-002,APT-003-002,RENTAL,RNT-003-002,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-003,APT-003-003,WATER,WTR-003-003,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-003,APT-003-003,RENTAL,RNT-003-003,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-004,APT-003-004,WATER,WTR-003-004,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-004,APT-003-004,RENTAL,RNT-003-004,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-005,APT-003-005,WATER,WTR-003-005,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-005,APT-003-005,RENTAL,RNT-003-005,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-006,APT-003-006,WATER,WTR-003-006,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-006,APT-003-006,RENTAL,RNT-003-006,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-007,APT-003-007,WATER,WTR-003-007,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-007,APT-003-007,RENTAL,RNT-003-007,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-008,APT-003-008,WATER,WTR-003-008,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-008,APT-003-008,RENTAL,RNT-003-008,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-009,APT-003-009,WATER,WTR-003-009,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-009,APT-003-009,RENTAL,RNT-003-009,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-010,APT-003-010,WATER,WTR-003-010,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-010,APT-003-010,RENTAL,RNT-003-010,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-011,APT-003-011,WATER,WTR-003-011,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-011,APT-003-011,RENTAL,RNT-003-011,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-012,APT-003-012,WATER,WTR-003-012,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-012,APT-003-012,RENTAL,RNT-003-012,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-013,APT-003-013,WATER,WTR-003-013,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-013,APT-003-013,RENTAL,RNT-003-013,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-014,APT-003-014,WATER,WTR-003-014,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-014,APT-003-014,RENTAL,RNT-003-014,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-015,APT-003-015,WATER,WTR-003-015,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-015,APT-003-015,RENTAL,RNT-003-015,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-016,APT-003-016,WATER,WTR-003-016,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-016,APT-003-016,RENTAL,RNT-003-016,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-017,APT-003-017,WATER,WTR-003-017,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-003-017,APT-003-017,RENTAL,RNT-003-017,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-003-018,APT-003-018,WATER,WTR-003-018,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
